#BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         302     1.25045    0.197526    0.131947
         303     1.25982    0.201032    0.131558
         304     1.26977    0.204547    0.131172
         305     1.27981    0.208073    0.130789
         306     1.28894    0.211605    0.130409
         307     1.29979     0.21515    0.130033
         308     1.31016    0.218705    0.129659
         309     1.32123    0.222273    0.129289
         310     1.33273    0.225855    0.128921
         311     1.34487    0.229453    0.128557
         312     1.35545    0.233062    0.128195
         313     1.36686    0.236684    0.127837
         314     1.37909    0.240323    0.127482
         315     1.39042    0.243974    0.127129
         316     1.40204    0.247639     0.12678
         317     1.41395    0.251318    0.126433
         318     1.42566    0.255011     0.12609
         319      1.4374    0.258717    0.125749
         320     1.44894    0.262437    0.125411
         321     1.46076     0.26617    0.125076
         322     1.47309    0.269918    0.124743
         323     1.48548    0.273681    0.124414
         324     1.49769    0.277459    0.124087
         325     1.50947     0.28125    0.123763
         326     1.52156    0.285055    0.123442
         327     1.53346    0.288872    0.123124
         328     1.54567    0.292704    0.122808
         329     1.55673    0.296546    0.122495
         330     1.56951    0.300404    0.122184
         331     1.58135    0.304274    0.121876
         332     1.59415    0.308159    0.121571
         333     1.60595    0.312056    0.121269
         334     1.61865    0.315968    0.120969
         335     1.63073    0.319893    0.120671
         336     1.64337    0.323832    0.120376
         337     1.65505    0.327782    0.120084
         338     1.66693    0.331744    0.119794
         339     1.67892    0.335718    0.119506
         340     1.69025    0.339702    0.119221
         341      1.7006    0.343693    0.118939
         342     1.70991    0.347687    0.118658
         343     1.71834    0.351683    0.118379
         344     1.72655     0.35568    0.118102
         345     1.73424    0.359676    0.117828
         346      1.7411    0.363668    0.117555
         347     1.74661    0.367654    0.117284
         348      1.7519    0.371632    0.117014
         349     1.75622    0.375599    0.116746
         350     1.75906    0.379552    0.116479
         351     1.76088    0.383487    0.116214
         352     1.76164    0.387402     0.11595
         353      1.7611    0.391294    0.115686
         354     1.75926    0.395158    0.115424
         355     1.75685    0.398994    0.115163
         356     1.75291    0.402797    0.114902
         357      1.7489    0.406568    0.114642
         358     1.74341    0.410302    0.114383
         359     1.73672    0.413997    0.114124
         360     1.72959    0.417651    0.113865
         361     1.72158    0.421263    0.113607
         362     1.71298    0.424831    0.113349
         363     1.70313    0.428353    0.113092
         364     1.69281    0.431826    0.112834
         365     1.68232    0.435252    0.112577
         366     1.67052    0.438628     0.11232
         367     1.65773    0.441949    0.112063
         368     1.64426    0.445216    0.111806
         369     1.63209    0.448433     0.11155
         370     1.61914    0.451597    0.111293
         371      1.6057    0.454708    0.111036
         372      1.5921    0.457765     0.11078
         373     1.57767    0.460768    0.110524
         374     1.56464    0.463719    0.110268
         375     1.55042    0.466617    0.110012
         376     1.53676    0.469463    0.109756
         377     1.52346    0.472259      0.1095
         378     1.51058    0.475006    0.109245
         379     1.49719    0.477703     0.10899
         380     1.48382    0.480351    0.108735
         381     1.47027    0.482949    0.108481
         382     1.45778    0.485501    0.108227
         383     1.44613    0.488009    0.107974
         384      1.4344    0.490474    0.107721
         385      1.4231    0.492896    0.107468
         386     1.41273    0.495279    0.107216
         387      1.4026    0.497623    0.106965
         388     1.39249     0.49993    0.106714
         389     1.38364    0.502202    0.106464
         390     1.37582    0.504442    0.106214
         391     1.36691    0.506647    0.105965
         392      1.3591    0.508822    0.105717
         393     1.35193    0.510967     0.10547
         394     1.34544    0.513085    0.105224
         395     1.33941    0.515177    0.104978
         396     1.33437    0.517246    0.104733
         397     1.32986    0.519293     0.10449
         398     1.32735    0.521323    0.104247
         399     1.32495    0.523337    0.104005
         400     1.32412    0.525339    0.103764
         401     1.32296    0.527328    0.103525
         402     1.32316    0.529308    0.103286
         403      1.3245    0.531281    0.103049
         404     1.32671     0.53325    0.102812
         405     1.32932    0.535216    0.102577
         406     1.33229    0.537179    0.102343
         407      1.3363    0.539142    0.102111
         408      1.3418     0.54111    0.101879
         409     1.34822    0.543083    0.101649
         410     1.35454    0.545062    0.101421
         411     1.36139    0.547048    0.101193
         412     1.36913    0.549044    0.100967
         413     1.37719    0.551049    0.100743
         414     1.38471    0.553063     0.10052
         415     1.39326    0.555087    0.100298
         416     1.40103    0.557121    0.100077
         417     1.40837    0.559162   0.0998582
         418     1.41566    0.561211   0.0996403
         419     1.42205    0.563266   0.0994237
         420     1.42842    0.565325   0.0992083
         421     1.43421    0.567389   0.0989941
         422     1.43912    0.569455   0.0987811
         423      1.4436    0.571522   0.0985692
         424     1.44764    0.573588   0.0983584
         425     1.45125    0.575653   0.0981486
         426     1.45373    0.577714   0.0979399
         427     1.45587    0.579771   0.0977321
         428     1.45748    0.581821   0.0975253
         429     1.45843    0.583865   0.0973193
         430     1.45952    0.585901   0.0971143
         431     1.45941    0.587928   0.0969101
         432     1.46062    0.589948   0.0967068
         433     1.46061    0.591959   0.0965044
         434     1.46115    0.593962   0.0963028
         435     1.46163    0.595956   0.0961021
         436     1.46259    0.597944   0.0959022
         437     1.46364    0.599925   0.0957032
         438     1.46507      0.6019   0.0955051
         439     1.46692    0.603871   0.0953079
         440     1.46922    0.605837   0.0951116
         441     1.47319    0.607804   0.0949162
         442     1.47643    0.609769   0.0947218
         443      1.4806    0.611735   0.0945284
         444     1.48498    0.613702    0.094336
         445     1.48951     0.61567   0.0941445
         446     1.49514    0.617642   0.0939541
         447     1.50061    0.619617   0.0937646
         448     1.50707    0.621598   0.0935763
         449     1.51304    0.623583   0.0933889
         450     1.51965    0.625575   0.0932026
         451     1.52661    0.627573   0.0930174
         452     1.53364    0.629577   0.0928332
         453     1.54044    0.631588     0.09265
         454     1.54673    0.633604   0.0924679
         455     1.55318    0.635625   0.0922867
         456     1.55928     0.63765   0.0921066
         457     1.56548    0.639681   0.0919274
         458     1.57126    0.641715   0.0917492
         459     1.57733    0.643753   0.0915719
         460     1.58366    0.645796   0.0913957
         461     1.58854    0.647841   0.0912203
         462     1.59317    0.649887   0.0910458
         463     1.59824    0.651936   0.0908722
         464     1.60229    0.653984   0.0906994
         465     1.60602    0.656031   0.0905275
         466     1.60991    0.658078   0.0903563
         467     1.61368    0.660124    0.090186
         468     1.61683    0.662169   0.0900165
         469      1.6191    0.664209   0.0898477
         470      1.6202    0.666243   0.0896795
         471     1.62254    0.668273   0.0895121
         472     1.62342    0.670297   0.0893453
         473     1.62453    0.672314   0.0891792
         474     1.62488    0.674324   0.0890137
         475      1.6247    0.676325   0.0888488
         476     1.62447    0.678317   0.0886845
         477     1.62299    0.680297   0.0885206
         478     1.62078    0.682265   0.0883573
         479     1.61811    0.684219   0.0881945
         480     1.61597     0.68616   0.0880321
         481     1.61275    0.688086   0.0878701
         482     1.60873    0.689996   0.0877086
         483     1.60474     0.69189   0.0875474
         484     1.60108    0.693769   0.0873867
         485     1.59666     0.69563   0.0872264
         486     1.59323    0.697477   0.0870664
         487     1.58922    0.699308   0.0869069
         488     1.58592    0.701125   0.0867478
         489     1.58366     0.70293   0.0865892
         490     1.58133    0.704722    0.086431
         491     1.57852    0.706502   0.0862733
         492       1.577    0.708271   0.0861161
         493     1.57588    0.710031   0.0859594
         494     1.57472    0.711782   0.0858032
         495     1.57527    0.713526   0.0856476
         496     1.57685    0.715267   0.0854926
         497     1.57757    0.717002   0.0853382
         498     1.57937    0.718733   0.0851844
         499     1.58325    0.720466   0.0850313
         500     1.58681    0.722198   0.0848789
         501      1.5927    0.723936   0.0847273
         502     1.59877    0.725679   0.0845764
         503      1.6062    0.727429   0.0844264
         504     1.61402    0.729188   0.0842772
         505     1.62293    0.730958   0.0841289
         506     1.63242     0.73274   0.0839815
         507      1.6427    0.734534    0.083835
         508     1.65373    0.736344   0.0836895
         509     1.66546    0.738169    0.083545
         510     1.67879    0.740014   0.0834015
         511     1.69149    0.741876   0.0832591
         512     1.70494    0.743757   0.0831177
         513     1.71883    0.745657   0.0829774
         514      1.7333    0.747579   0.0828382
         515     1.74805    0.749521   0.0827002
         516     1.76299    0.751486   0.0825632
         517     1.77851    0.753472   0.0824274
         518     1.79285    0.755479   0.0822927
         519     1.80689    0.757504   0.0821591
         520     1.82178    0.759551   0.0820266
         521     1.83671    0.761619   0.0818952
         522     1.85067    0.763705   0.0817649
         523      1.8641    0.765809   0.0816356
         524      1.8784    0.767932   0.0815074
         525     1.89234    0.770074   0.0813803
         526     1.90565    0.772233   0.0812542
         527      1.9193    0.774409   0.0811292
         528     1.93135    0.776601   0.0810051
         529     1.94301    0.778805    0.080882
         530     1.95475    0.781024   0.0807598
         531     1.96634    0.783256   0.0806385
         532     1.97731    0.785501   0.0805182
         533     1.98764    0.787756   0.0803987
         534     1.99734    0.790022   0.0802801
         535     2.00783    0.792298   0.0801623
         536      2.0167    0.794582   0.0800453
         537     2.02535    0.796874    0.079929
         538     2.03377    0.799173   0.0798135
         539     2.04119    0.801477   0.0796987
         540     2.04781    0.803785   0.0795845
         541     2.05429    0.806097   0.0794709
         542     2.05986     0.80841    0.079358
         543      2.0652    0.810725   0.0792456
         544     2.06952    0.813039   0.0791337
         545     2.07348    0.815351   0.0790223
         546     2.07463    0.817658   0.0789112
         547     2.07749    0.819961   0.0788005
         548     2.07816    0.822257   0.0786902
         549     2.07756    0.824543   0.0785801
         550      2.0759    0.826819   0.0784701
         551     2.07316    0.829081   0.0783603
         552     2.06981    0.831328   0.0782506
         553     2.06486    0.833559   0.0781409
         554     2.05952    0.835772   0.0780311
         555     2.05211    0.837963   0.0779213
         556     2.04338    0.840131   0.0778113
         557     2.03453    0.842276   0.0777012
         558     2.02367    0.844393   0.0775908
         559     2.01253    0.846483   0.0774801
         560     2.00065    0.848544   0.0773691
         561     1.98856    0.850576   0.0772579
         562     1.97534    0.852577   0.0771464
         563      1.9608    0.854546   0.0770344
         564     1.94499    0.856479   0.0769221
         565      1.9282    0.858376   0.0768093
         566     1.91169    0.860237   0.0766962
         567     1.89407     0.86206   0.0765826
         568     1.87587    0.863845   0.0764686
         569     1.85714    0.865591   0.0763541
         570     1.83722    0.867295   0.0762392
         571     1.81712    0.868959   0.0761238
         572     1.79639     0.87058    0.076008
