# VELOCITY:     BLOCK_AVE_POFV	PROG_AVE_POFV:        ERROR:
     2.54558   0.0617963   0.0761233  0.00501935
     2.73415    0.061588   0.0654809  0.00383947
     2.92271   0.0633657   0.0551418  0.00280261
     3.11127    0.053787   0.0544109  0.00271075
     3.29983   0.0522407   0.0441916  0.00289996
     3.48839   0.0356204   0.0271979  0.00263482
     3.67696   0.0114352   0.0220382  0.00283141
     3.86552   0.0209722   0.0213657  0.00321479
     4.05408   0.0247546   0.0205544  0.00246406
     4.24264   0.0136481   0.0154277   0.0021966
      4.4312  0.00568981  0.00798495    0.002032
     4.61976   0.0188611  0.00713252  0.00209652
     4.80833  0.00666667  0.00539005  0.00167266
     4.99689 0.000180556   0.0031169  0.00112215
     5.18545 0.000324074  0.00156366 0.000475138
     5.37401  0.00264352  0.00138079 0.000476119
     5.56257  0.00619907  0.00200347 0.000853082
   0.0942809 0.000476852 0.000265432  0.00013346
    0.282843   0.0170139  0.00379938  0.00166074
    0.471405   0.0157824   0.0107197  0.00210646
    0.659966   0.0429444   0.0236538  0.00368864
    0.848528   0.0366991   0.0245802  0.00366458
     1.03709   0.0449213   0.0415643  0.00333106
     1.22565   0.0494306   0.0545149  0.00576917
     1.41421   0.0655509   0.0631615  0.00357849
     1.60278   0.0471944   0.0582783  0.00335574
     1.79134    0.059588   0.0663344  0.00429044
      1.9799   0.0749074   0.0774928  0.00647192
     2.16846     0.06925   0.0739676  0.00308676
     2.35702       0.055   0.0688133  0.00375374
     2.54558   0.0542824   0.0736965  0.00501409
     2.73415   0.0403056   0.0626836   0.0043131
     2.92271   0.0424676   0.0537335  0.00282293
     3.11127   0.0629815   0.0553632  0.00257139
     3.29983   0.0640833   0.0464017  0.00331465
     3.48839   0.0316898    0.027697  0.00238887
     3.67696   0.0315509   0.0230952  0.00270692
     3.86552   0.0164213   0.0208164  0.00290416
     4.05408   0.0183148   0.0203056  0.00220281
     4.24264  0.00996296   0.0148205  0.00203472
      4.4312     0.00975  0.00818107  0.00181566
     4.61976   0.0202222  0.00858693  0.00231369
     4.80833   0.0110324  0.00601698  0.00159999
     4.99689  0.00225926   0.0030216   0.0010015
     5.18545 0.000152778  0.00140689  0.00044746
     5.37401  0.00099537  0.00133796 0.000425139
     5.56257 0.000856481  0.00187603 0.000767756
   0.0942809 9.25926e-05 0.000248148 0.000121228
    0.282843   0.0122917  0.00464861  0.00169796
    0.471405   0.0100463   0.0106523  0.00189689
    0.659966   0.0324028   0.0245287  0.00342196
    0.848528   0.0421944   0.0263417  0.00369729
     1.03709   0.0653472   0.0439426  0.00375212
     1.22565   0.0418426   0.0532477  0.00532961
     1.41421   0.0566157   0.0625069  0.00327996
     1.60278   0.0652639   0.0589769  0.00309202
     1.79134   0.0651898   0.0662199  0.00386292
      1.9799   0.0599444    0.075738  0.00605797
     2.16846   0.0656111   0.0731319  0.00288898
     2.35702   0.0448935   0.0664213  0.00406973
     2.54558   0.0589769   0.0722245   0.0047238
     2.73415   0.0604769    0.062463  0.00388743
     2.92271   0.0367731   0.0520375  0.00300728
     3.11127   0.0733333   0.0571602  0.00287439
     3.29983   0.0494676   0.0467083  0.00299733
