# mu = 1, sigma = 1
BLOCK, ACTUAL_E, E_AVE, ERR
223, 0.339853, 0.643798, 0.00402573
224, 1.50681, 0.647651, 0.00402407
225, 1.07656, 0.649557, 0.00400999
226, 0.91598, 0.650736, 0.0039925
227, 0.775009, 0.651284, 0.00397259
228, 3.10207, 0.662033, 0.0040487
229, 0.938215, 0.663239, 0.0040313
230, 0.720031, 0.663486, 0.00401032
231, 0.40138, 0.662351, 0.0039859
232, 0.46995, 0.661522, 0.00396235
233, 0.595245, 0.661237, 0.00394038
234, -0.324529, 0.657025, 0.00391619
235, 0.266908, 0.655365, 0.00389188
236, 0.0419415, 0.652765, 0.00386716
237, 0.647369, 0.652743, 0.00384677
238, 0.373286, 0.651568, 0.00382386
239, 0.85334, 0.652413, 0.00380688
240, 0.375806, 0.65126, 0.00378442
241, 0.0950726, 0.648952, 0.00376094
242, 0.152927, 0.646903, 0.00373783
243, 0.904619, 0.647963, 0.00372244
244, 0.589678, 0.647724, 0.00370278
245, 1.34352, 0.650564, 0.00369681
246, 0.167885, 0.648602, 0.00367452
247, 0.552644, 0.648214, 0.00365497
248, -0.356881, 0.644161, 0.00363403
249, 0.606831, 0.644011, 0.00361543
250, 0.261898, 0.642482, 0.00359433
251, -0.114212, 0.639468, 0.00357297
252, 0.129008, 0.637442, 0.00355184
253, 0.716248, 0.637754, 0.00353526
254, 0.577145, 0.637515, 0.00351726
255, 0.0764606, 0.635315, 0.00349661
256, 0.874882, 0.636251, 0.00348269
257, 0.079213, 0.634083, 0.00346241
258, 1.37374, 0.63695, 0.00345826
259, 0.641664, 0.636968, 0.00344167
260, 2.12159, 0.642678, 0.00345923
261, 0.349598, 0.641555, 0.00344034
262, 0.373574, 0.640532, 0.00342176
263, 1.06339, 0.64214, 0.00341139
264, 0.243046, 0.640629, 0.00339247
265, 1.39176, 0.643463, 0.00338872
266, 0.377056, 0.642462, 0.00337072
267, 0.449001, 0.641737, 0.00335335
268, 0.308461, 0.640493, 0.00333531
269, 1.53098, 0.643804, 0.00333489
270, 0.758119, 0.644227, 0.00332076
271, 1.00606, 0.645562, 0.00331009
272, 0.276672, 0.644206, 0.0032924
273, 0.489272, 0.643639, 0.0032761
274, 1.01204, 0.644983, 0.00326581
275, 0.250619, 0.643549, 0.00324845
276, 0.740553, 0.6439, 0.00323483
277, 0.290075, 0.642623, 0.00321792
278, 0.897552, 0.64354, 0.00320642
279, 0.207466, 0.641977, 0.00318948
280, 1.55869, 0.645251, 0.00318986
281, -0.243325, 0.642089, 0.00317326
282, 0.117566, 0.640229, 0.00315647
283, 0.709769, 0.640475, 0.00314327
284, 0.726293, 0.640777, 0.00313035
285, 0.392796, 0.639907, 0.00311494
286, 1.07572, 0.641431, 0.00310659
287, 0.854989, 0.642175, 0.00309536
288, 1.38765, 0.644763, 0.00309234
289, -0.176538, 0.641921, 0.00307651
290, 0.581661, 0.641713, 0.00306285
291, 1.53404, 0.64478, 0.00306275
292, 0.996342, 0.645984, 0.00305357
293, 1.35023, 0.648387, 0.00304988
294, 0.563236, 0.648098, 0.00303637
295, 0.835567, 0.648733, 0.00302543
296, 2.65275, 0.655504, 0.00305507
297, 0.241505, 0.65411, 0.00303999
298, 3.45952, 0.663524, 0.00309895
299, 1.65455, 0.666838, 0.00310002
300, 0.334751, 0.665731, 0.00308519
