# VELOCITY:     AVE_POFV:        ERROR:
     1.79134      8.4375    0.376638
      1.9799       9.393    0.553835
     2.16846      8.2945    0.273879
     2.35702      8.2455    0.398743
     2.54558      8.3935    0.437801
     2.73415      8.1095    0.376637
     2.92271       4.982    0.278119
     3.11127       5.508    0.278455
     3.29983      4.9385    0.270705
     3.48839      3.5075     0.22245
     3.67696       2.642    0.232301
     3.86552      1.2725    0.259736
     4.05408      2.2475    0.185935
     4.24264       0.873    0.179735
      4.4312      1.4555    0.165306
     4.61976      1.3205    0.190343
     4.80833       0.464    0.136718
     4.99689      0.0665   0.0879128
     5.18545       0.948   0.0747359
     5.37401       0.376   0.0394023
     5.56257      0.0615    0.063548
   0.0942809      0.0015   0.0140233
    0.282843       0.004    0.146552
    0.471405      1.0425     0.15993
    0.659966      2.5225    0.300879
    0.848528       3.407    0.328443
     1.03709      3.2225     0.36407
     1.22565      3.9425    0.506374
     1.41421      7.8095    0.328157
     1.60278       7.017    0.299278
     1.79134       8.706    0.361295
      1.9799      8.6505     0.51198
     2.16846      8.3035    0.255017
     2.35702       7.122    0.368071
     2.54558      5.8825    0.427204
     2.73415       6.616    0.348602
     2.92271       7.308    0.288695
     3.11127      6.1735    0.257284
     3.29983       4.092    0.258986
     3.48839       3.855    0.211045
     3.67696      2.5345    0.214497
     3.86552      2.8725    0.243891
     4.05408       1.483    0.178985
     4.24264      1.9135    0.169163
      4.4312       1.055    0.152789
     4.61976       0.716    0.176554
     4.80833      0.4505    0.126802
     4.99689      0.2885   0.0811792
     5.18545      0.2975   0.0690799
     5.37401       0.132   0.0364719
     5.56257        0.43   0.0612578
   0.0942809      0.0055   0.0132115
    0.282843       0.203       0.137
    0.471405       0.651      0.1529
    0.659966       2.075    0.283461
    0.848528        3.47    0.306337
     1.03709        4.89    0.339798
     1.22565        4.62     0.47277
     1.41421      7.4755    0.310719
     1.60278       8.726    0.312951
     1.79134       9.062    0.352755
      1.9799      9.2195     0.47956
     2.16846       7.912    0.236809
     2.35702      6.3285    0.346222
     2.54558      7.0655    0.398472
     2.73415      6.6645    0.324238
     2.92271       4.962    0.272329
     3.11127       5.563    0.241079
     3.29983       3.662     0.25612
     3.48839       5.541    0.251703
     3.67696      2.1665    0.201405
     3.86552      0.8185    0.248765
     4.05408       0.198    0.212303
     4.24264       0.338    0.176304
      4.4312       2.453    0.175274
     4.61976       0.557    0.165968
     4.80833      0.0685    0.123388
     4.99689       0.284   0.0753967
     5.18545       0.488   0.0661575
     5.37401      0.6355   0.0468201
     5.56257      0.3175   0.0573656
   0.0942809       0.006   0.0124773
    0.282843        0.45    0.127885
    0.471405       0.523     0.14817
    0.659966       2.761    0.264576
    0.848528       3.792    0.289549
     1.03709       5.012     0.31937
     1.22565      4.0885    0.447913
     1.41421      6.8095    0.290173
     1.60278       6.869    0.292138
     1.79134       8.621     0.33585
      1.9799       10.58    0.469673
     2.16846       7.762    0.221169
     2.35702      6.0025    0.330432
     2.54558       8.906    0.381681
     2.73415      4.2815    0.346937
     2.92271       4.433    0.265218
     3.11127      5.4865    0.227413
     3.29983      5.3695    0.241369
     3.48839       4.355    0.242678
     3.67696       1.831    0.193905
     3.86552       1.348    0.238683
     4.05408      0.7775     0.21275
     4.24264       2.933    0.191304
      4.4312      1.9855    0.174011
     4.61976      1.0045    0.155034
     4.80833       0.294    0.116488
     4.99689      0.0655   0.0715111
     5.18545      0.3985   0.0623028
     5.37401      0.0385   0.0449101
     5.56257      0.1325   0.0538187
   0.0942809       0.184     0.01482
    0.282843       0.523    0.120059
    0.471405       1.539    0.141419
    0.659966      1.4225    0.260238
    0.848528       2.806    0.272156
     1.03709      3.5815    0.304163
     1.22565       3.657    0.430225
     1.41421      3.6885    0.326294
     1.60278       9.686    0.325143
     1.79134       8.597    0.319925
      1.9799        8.97    0.441169
     2.16846       8.771    0.214257
     2.35702       6.647    0.310527
     2.54558      7.8955    0.358104
     2.73415       6.699    0.325263
     2.92271      6.5905    0.256782
     3.11127      5.5755    0.214496
     3.29983      4.1995    0.230058
     3.48839       3.894    0.228932
     3.67696       4.165    0.207246
     3.86552      2.3235    0.224012
     4.05408      1.2645    0.203126
     4.24264      2.6835    0.192695
      4.4312      0.5565    0.166735
     4.61976      0.5955    0.146604
     4.80833       0.567    0.109214
     4.99689      0.3205   0.0671778
     5.18545      0.3045   0.0584306
     5.37401      0.1195   0.0423106
     5.56257      0.0105   0.0519019
