# VELOCITY:     BLOCK_AVE_POFV	PROG_AVE_POFV:        ERROR:
    0.659966        2.96    0.493182    0.264205
    0.848528       1.385    0.518636    0.192364
     1.03709       0.075    0.188636   0.0740089
     1.22565        1.83    0.788182    0.289694
     1.41421       2.465    0.560455    0.217382
     1.60278       3.035     1.49273    0.489067
     1.79134       4.185     2.28182    0.562376
      1.9799         4.1     1.65909    0.434434
     2.16846        4.98     2.15682    0.600446
     2.35702      23.825     25.9432     5.57034
     2.54558       25.72     54.3541     7.41692
     2.73415        9.01     8.44864     1.47842
     2.92271       6.105     2.41682    0.623092
     3.11127       3.985     2.14227    0.805518
     3.29983       4.805     1.86591    0.630979
     3.48839         3.7     1.06955    0.408153
     3.67696        0.66    0.181364   0.0733076
     3.86552        1.13    0.343182    0.149493
     4.05408       0.505       0.085   0.0489138
     4.24264       1.365    0.164545     0.11913
      4.4312           1    0.315455    0.131736
     4.61976           0   0.0354545   0.0338046
     4.80833           0   0.0154545   0.0147353
     4.99689           0           0           0
     5.18545           0           0           0
     5.37401           0           0           0
     5.56257           0           0           0
   0.0942809           0   0.0179167    0.014379
    0.282843        0.09    0.155833    0.067394
    0.471405       0.115    0.282917     0.10598
    0.659966       3.075    0.708333    0.317943
    0.848528       0.865      0.5475    0.178486
     1.03709        0.14    0.184583   0.0679523
     1.22565        3.02    0.974167    0.319728
     1.41421        2.03    0.682917    0.231203
     1.60278        4.16       1.715    0.496258
     1.79134        5.02        2.51    0.559893
      1.9799        3.49     1.81167    0.424179
     2.16846         6.2     2.49375    0.637976
     2.35702        21.3     25.5563     5.11957
     2.54558      25.645     51.9617     7.17433
     2.73415       11.94     8.73958     1.38355
     2.92271       3.835       2.535    0.582267
     3.11127        5.09     2.38792    0.774942
     3.29983        4.59     2.09292    0.617885
     3.48839        2.67     1.20292    0.395331
     3.67696       0.935    0.244167   0.0901731
     3.86552       1.125    0.408333    0.150564
     4.05408        0.94     0.15625   0.0816329
     4.24264       0.725     0.21125    0.118003
      4.4312           1      0.3725    0.132535
     4.61976           0      0.0325   0.0311164
     4.80833           0   0.0141667   0.0135636
     4.99689           0           0           0
     5.18545           0           0           0
     5.37401           0           0           0
     5.56257           0           0           0
   0.0942809           0   0.0165385   0.0133388
    0.282843           0    0.143846    0.063267
    0.471405        0.89    0.329615    0.107626
    0.659966        1.14    0.741538    0.295214
    0.848528       1.025    0.584231    0.168493
     1.03709         1.1       0.255    0.092258
     1.22565       3.915     1.20038    0.366527
     1.41421        1.83    0.771154    0.229639
     1.60278       2.935     1.80885    0.466873
