# VELOCITY:     BLOCK_AVE_POFV	PROG_AVE_POFV:        ERROR:
    0.848528  0.00925926  0.00925926 2.54039e-11
     1.03709   0.0277778   0.0277778 7.18531e-11
     1.22565  0.00925926  0.00925926 2.54039e-11
     1.41421    0.037037   0.0357143  0.00070704
     1.60278   0.0740741   0.0665785  0.00203196
     1.79134     0.12963    0.138889  0.00176367
      1.9799   0.0555556   0.0542328  0.00070704
     2.16846   0.0740741   0.0837743   0.0018154
     2.35702   0.0833333   0.0855379  0.00151521
     2.54558    0.231481    0.220459  0.00160424
     2.73415    0.037037   0.0436508 0.000912785
     2.92271   0.0277778    0.015873  0.00177935
     3.11127    0.037037   0.0357143  0.00143359
     3.29983   0.0555556    0.053351 0.000860582
     3.48839   0.0555556   0.0643739 0.000430291
     3.67696           0  0.00529101 0.000999906
     3.86552  0.00925926  0.00396825 0.000999906
