#BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         374     2.95154     2.94241 0.000948362
         375     2.95168     2.94244 0.000946154
         376     2.95181     2.94246 0.000943966
         377     2.95194     2.94249 0.000941797
         378     2.95206     2.94251 0.000939646
         379     2.95218     2.94254 0.000937513
         380     2.95229     2.94257 0.000935397
         381     2.95239     2.94259 0.000933297
         382     2.95249     2.94262 0.000931214
         383     2.95259     2.94264 0.000929146
         384     2.95268     2.94267 0.000927094
         385     2.95276      2.9427 0.000925056
         386     2.95284     2.94272 0.000923033
         387     2.95292     2.94275 0.000921024
         388     2.95299     2.94278 0.000919028
         389     2.95305      2.9428 0.000917045
         390     2.95312     2.94283 0.000915075
         391     2.95318     2.94285 0.000913117
         392     2.95323     2.94288 0.000911171
         393     2.95328     2.94291 0.000909237
         394     2.95333     2.94293 0.000907314
         395     2.95338     2.94296 0.000905403
         396     2.95342     2.94299 0.000903501
         397     2.95346     2.94301 0.000901611
         398      2.9535     2.94304  0.00089973
         399     2.95353     2.94307 0.000897859
         400     2.95356     2.94309 0.000895998
         401      2.9536     2.94312 0.000894147
         402     2.95362     2.94314 0.000892304
         403     2.95365     2.94317 0.000890471
         404     2.95367      2.9432 0.000888646
         405      2.9537     2.94322  0.00088683
         406     2.95372     2.94325 0.000885022
         407     2.95374     2.94327 0.000883223
         408     2.95375      2.9433 0.000881431
         409     2.95377     2.94333 0.000879648
         410     2.95379     2.94335 0.000877873
         411      2.9538     2.94338 0.000876105
         412     2.95381      2.9434 0.000874345
         413     2.95383     2.94343 0.000872592
         414     2.95384     2.94345 0.000870846
         415     2.95385     2.94348 0.000869108
         416     2.95386      2.9435 0.000867377
         417     2.95387     2.94353 0.000865653
         418     2.95388     2.94355 0.000863937
         419     2.95388     2.94358 0.000862227
         420     2.95389      2.9436 0.000860523
         421      2.9539     2.94363 0.000858827
         422      2.9539     2.94365 0.000857137
         423     2.95391     2.94367 0.000855454
         424     2.95391      2.9437 0.000853777
         425     2.95391     2.94372 0.000852106
         426     2.95392     2.94375 0.000850442
         427     2.95392     2.94377 0.000848784
         428     2.95391     2.94379 0.000847131
         429     2.95391     2.94382 0.000845485
         430     2.95391     2.94384 0.000843844
         431      2.9539     2.94386 0.000842209
         432     2.95389     2.94389  0.00084058
         433     2.95388     2.94391 0.000838955
         434     2.95387     2.94393 0.000837335
         435     2.95385     2.94396 0.000835721
         436     2.95382     2.94398  0.00083411
         437      2.9538       2.944 0.000832504
         438     2.95377     2.94402 0.000830902
         439     2.95373     2.94405 0.000829303
         440     2.95369     2.94407 0.000827708
         441     2.95364     2.94409 0.000826115
         442     2.95358     2.94411 0.000824525
         443     2.95351     2.94413 0.000822937
         444     2.95344     2.94415  0.00082135
         445     2.95335     2.94417 0.000819765
         446     2.95326     2.94419  0.00081818
         447     2.95315     2.94421 0.000816595
         448     2.95303     2.94423 0.000815009
         449      2.9529     2.94425 0.000813423
         450     2.95276     2.94427 0.000811835
         451     2.95259     2.94429 0.000810244
         452     2.95242     2.94431 0.000808651
         453     2.95222     2.94433 0.000807055
         454     2.95201     2.94434 0.000805454
         455     2.95177     2.94436  0.00080385
         456     2.95152     2.94437  0.00080224
         457     2.95124     2.94439 0.000800625
         458     2.95094      2.9444 0.000799005
         459     2.95062     2.94442 0.000797379
         460     2.95028     2.94443 0.000795748
         461      2.9499     2.94444  0.00079411
         462      2.9495     2.94445 0.000792467
         463     2.94908     2.94446 0.000790818
         464     2.94863     2.94447 0.000789165
         465     2.94814     2.94448 0.000787507
         466     2.94763     2.94449 0.000785846
         467     2.94709     2.94449 0.000784183
         468     2.94653      2.9445  0.00078252
         469     2.94593      2.9445 0.000780857
         470     2.94531      2.9445 0.000779198
         471     2.94465      2.9445 0.000777544
         472     2.94397      2.9445 0.000775897
         473     2.94327      2.9445 0.000774261
         474     2.94254     2.94449 0.000772639
         475     2.94179     2.94449 0.000771033
         476     2.94101     2.94448 0.000769448
         477     2.94022     2.94447 0.000767887
         478     2.93941     2.94446 0.000766353
         479     2.93859     2.94445 0.000764851
         480     2.93777     2.94444 0.000763384
         481     2.93693     2.94442 0.000761957
         482     2.93609      2.9444 0.000760572
         483     2.93526     2.94438 0.000759232
         484     2.93443     2.94436 0.000757942
         485     2.93362     2.94434 0.000756703
         486     2.93282     2.94432 0.000755518
         487     2.93204     2.94429 0.000754387
         488     2.93128     2.94426 0.000753312
         489     2.93056     2.94424 0.000752293
         490     2.92987     2.94421 0.000751328
         491     2.92923     2.94418 0.000750417
         492     2.92863     2.94415 0.000749558
         493     2.92807     2.94411 0.000748746
         494     2.92758     2.94408 0.000747978
         495     2.92713     2.94405  0.00074725
         496     2.92675     2.94401 0.000746556
         497     2.92643     2.94397 0.000745891
         498     2.92618     2.94394 0.000745249
         499     2.92599      2.9439 0.000744623
         500     2.92587     2.94387 0.000744006
         501     2.92582     2.94383 0.000743392
         502     2.92584      2.9438 0.000742775
         503     2.92592     2.94376 0.000742148
         504     2.92607     2.94372 0.000741505
         505     2.92628     2.94369 0.000740841
         506     2.92655     2.94366 0.000740151
         507     2.92688     2.94362 0.000739431
         508     2.92726     2.94359 0.000738676
