#BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         221     1.96892     1.96613 0.000813017
         222      1.9687     1.96614 0.000809438
         223     1.96847     1.96615 0.000805875
         224     1.96822     1.96616  0.00080233
         225     1.96795     1.96617 0.000798804
         226     1.96766     1.96617 0.000795296
         227     1.96736     1.96618  0.00079181
         228     1.96704     1.96618 0.000788346
         229     1.96671     1.96619 0.000784907
         230     1.96635     1.96619 0.000781495
         231     1.96599     1.96619 0.000778112
         232      1.9656     1.96618 0.000774762
         233      1.9652     1.96618 0.000771448
         234     1.96479     1.96617 0.000768174
         235     1.96436     1.96617 0.000764944
         236     1.96391     1.96616 0.000761763
         237     1.96346     1.96614 0.000758634
         238     1.96298     1.96613 0.000755562
         239      1.9625     1.96612 0.000752554
         240       1.962      1.9661 0.000749614
         241     1.96149     1.96608 0.000746747
         242     1.96097     1.96606 0.000743959
         243     1.96044     1.96604 0.000741257
         244      1.9599     1.96601 0.000738645
         245     1.95935     1.96598  0.00073613
         246      1.9588     1.96595 0.000733717
         247     1.95823     1.96592 0.000731413
         248     1.95766     1.96589 0.000729222
         249     1.95709     1.96585  0.00072715
         250     1.95651     1.96582 0.000725202
         251     1.95592     1.96578 0.000723383
         252     1.95534     1.96574 0.000721698
         253     1.95475     1.96569  0.00072015
         254     1.95416     1.96565 0.000718744
         255     1.95358      1.9656 0.000717481
         256     1.95299     1.96555 0.000716366
         257     1.95241      1.9655   0.0007154
         258     1.95184     1.96545 0.000714584
         259     1.95127     1.96539  0.00071392
         260      1.9507     1.96534 0.000713406
         261     1.95014     1.96528 0.000713043
         262     1.94959     1.96522  0.00071283
         263     1.94906     1.96516 0.000712763
         264     1.94853     1.96509 0.000712841
         265     1.94801     1.96503  0.00071306
         266     1.94751     1.96496 0.000713415
         267     1.94702     1.96489 0.000713902
         268     1.94654     1.96483 0.000714515
         269     1.94608     1.96476 0.000715248
         270     1.94564     1.96469 0.000716094
         271     1.94522     1.96461 0.000717045
         272     1.94482     1.96454 0.000718094
         273     1.94443     1.96447 0.000719232
         274     1.94407     1.96439 0.000720451
         275     1.94373     1.96432  0.00072174
         276     1.94341     1.96424 0.000723091
         277     1.94311     1.96417 0.000724494
         278     1.94284     1.96409 0.000725939
         279     1.94259     1.96401 0.000727415
         280     1.94237     1.96394 0.000728913
         281     1.94217     1.96386 0.000730422
         282       1.942     1.96378 0.000731932
         283     1.94186      1.9637 0.000733434
         284     1.94174     1.96363 0.000734917
         285     1.94165     1.96355 0.000736372
         286     1.94159     1.96347 0.000737789
         287     1.94155     1.96339 0.000739161
         288     1.94155     1.96332 0.000740478
         289     1.94156     1.96324 0.000741732
         290     1.94161     1.96317 0.000742915
         291     1.94169      1.9631 0.000744021
         292     1.94179     1.96302 0.000745044
         293     1.94191     1.96295 0.000745976
         294     1.94207     1.96288 0.000746813
         295     1.94224     1.96281 0.000747551
         296     1.94245     1.96274 0.000748184
         297     1.94267     1.96267 0.000748711
         298     1.94292     1.96261 0.000749127
         299     1.94319     1.96254 0.000749431
         300     1.94348     1.96248  0.00074962
         301     1.94379     1.96242 0.000749696
         302     1.94413     1.96236 0.000749655
         303     1.94448      1.9623   0.0007495
         304     1.94484     1.96224 0.000749231
         305     1.94522     1.96218 0.000748849
         306     1.94562     1.96213 0.000748355
         307     1.94603     1.96208 0.000747753
         308     1.94645     1.96203 0.000747044
         309     1.94689     1.96198 0.000746231
         310     1.94733     1.96193 0.000745318
         311     1.94778     1.96188 0.000744309
         312     1.94824     1.96184 0.000743206
         313     1.94871      1.9618 0.000742015
         314     1.94918     1.96176  0.00074074
         315     1.94966     1.96172 0.000739384
         316     1.95013     1.96168 0.000737953
         317     1.95062     1.96165  0.00073645
         318      1.9511     1.96162 0.000734881
         319     1.95158     1.96158  0.00073325
         320     1.95206     1.96155 0.000731562
         321     1.95254     1.96153 0.000729822
         322     1.95302      1.9615 0.000728033
         323      1.9535     1.96147   0.0007262
         324     1.95397     1.96145 0.000724328
         325     1.95444     1.96143 0.000722421
         326      1.9549     1.96141 0.000720483
         327     1.95536     1.96139 0.000718517
         328     1.95581     1.96137 0.000716529
         329     1.95625     1.96136  0.00071452
         330     1.95669     1.96134 0.000712495
         331     1.95712     1.96133 0.000710457
         332     1.95754     1.96132 0.000708409
         333     1.95795     1.96131 0.000706354
