,xpred_1layers,xpred_2layers,xpred_3layers,ypred_1layers,ypred_2layers,ypred_3layers
27,-0.4545454545454545,-0.4545454545454545,-0.4545454545454545,4.460761,4.766511,4.709014
28,-0.43434343434343425,-0.43434343434343425,-0.43434343434343425,4.489547,4.7757483,4.734077
29,-0.41414141414141414,-0.41414141414141414,-0.41414141414141414,4.5183325,4.778613,4.7591395
30,-0.3939393939393939,-0.3939393939393939,-0.3939393939393939,4.5471177,4.780995,4.7546854
31,-0.3737373737373737,-0.3737373737373737,-0.3737373737373737,4.5759034,4.7833767,4.7431445
32,-0.3535353535353535,-0.3535353535353535,-0.3535353535353535,4.6046886,4.785759,4.7316046
33,-0.33333333333333326,-0.33333333333333326,-0.33333333333333326,4.6334743,4.7801805,4.7176127
34,-0.31313131313131304,-0.31313131313131304,-0.31313131313131304,4.66226,4.7554083,4.697623
35,-0.2929292929292928,-0.2929292929292928,-0.2929292929292928,4.6910458,4.728025,4.6776333
36,-0.2727272727272727,-0.2727272727272727,-0.2727272727272727,4.685502,4.700641,4.657643
37,-0.2525252525252525,-0.2525252525252525,-0.2525252525252525,4.6476207,4.673258,4.6376534
38,-0.23232323232323226,-0.23232323232323226,-0.23232323232323226,4.5986805,4.645499,4.617664
39,-0.21212121212121204,-0.21212121212121204,-0.21212121212121204,4.5411506,4.6132226,4.57953
40,-0.19191919191919182,-0.19191919191919182,-0.19191919191919182,4.483116,4.5803237,4.5326505
41,-0.1717171717171716,-0.1717171717171716,-0.1717171717171716,4.4250817,4.531667,4.4857707
42,-0.1515151515151515,-0.1515151515151515,-0.1515151515151515,4.3670473,4.476508,4.4388914
43,-0.13131313131313127,-0.13131313131313127,-0.13131313131313127,4.309013,4.4147806,4.3920116
44,-0.11111111111111105,-0.11111111111111105,-0.11111111111111105,4.2509785,4.3519845,4.3451324
45,-0.09090909090909083,-0.09090909090909083,-0.09090909090909083,4.192944,4.2885213,4.292416
46,-0.07070707070707061,-0.07070707070707061,-0.07070707070707061,4.1349096,4.2248454,4.234023
47,-0.050505050505050386,-0.050505050505050386,-0.050505050505050386,4.076875,4.1611695,4.17563
48,-0.030303030303030276,-0.030303030303030276,-0.030303030303030276,4.0188413,4.0974936,4.117237
49,-0.010101010101010055,-0.010101010101010055,-0.010101010101010055,3.9608064,4.0338173,4.058844
50,0.010101010101010166,0.010101010101010166,0.010101010101010166,3.902772,3.9701414,4.000451
51,0.030303030303030498,0.030303030303030498,0.030303030303030498,3.8447375,3.906466,3.942058
