,xpred_1layers,xpred_2layers,xpred_3layers,ypred_1layers,ypred_2layers,ypred_3layers
74,0.49494949494949503,0.49494949494949503,0.49494949494949503,2.7268877,2.5630481,2.533463
75,0.5151515151515154,0.5151515151515154,0.5151515151515154,2.7043467,2.5272796,2.487596
76,0.5353535353535355,0.5353535353535355,0.5353535353535355,2.6818056,2.491511,2.4417288
77,0.5555555555555556,0.5555555555555556,0.5555555555555556,2.6592646,2.4557424,2.3958611
78,0.5757575757575759,0.5757575757575759,0.5757575757575759,2.636724,2.4199739,2.3499942
79,0.595959595959596,0.595959595959596,0.595959595959596,2.614183,2.384205,2.304127
80,0.6161616161616164,0.6161616161616164,0.6161616161616164,2.591642,2.3484366,2.2582595
81,0.6363636363636365,0.6363636363636365,0.6363636363636365,2.569101,2.312668,2.212626
82,0.6565656565656568,0.6565656565656568,0.6565656565656568,2.5465603,2.2768993,2.1716318
83,0.6767676767676769,0.6767676767676769,0.6767676767676769,2.5258992,2.241131,2.134663
84,0.696969696969697,0.696969696969697,0.696969696969697,2.5054584,2.2053623,2.101675
85,0.7171717171717173,0.7171717171717173,0.7171717171717173,2.4850175,2.1695938,2.0688043
86,0.7373737373737375,0.7373737373737375,0.7373737373737375,2.4645767,2.133825,2.0370078
87,0.7575757575757578,0.7575757575757578,0.7575757575757578,2.444136,2.0980566,2.0052114
88,0.7777777777777779,0.7777777777777779,0.7777777777777779,2.4236953,2.062288,1.9769036
89,0.7979797979797982,0.7979797979797982,0.7979797979797982,2.4032545,2.0317528,1.9490529
90,0.8181818181818183,0.8181818181818183,0.8181818181818183,2.382814,2.0046136,1.9212024
91,0.8383838383838385,0.8383838383838385,0.8383838383838385,2.362373,1.9774742,1.8975186
92,0.8585858585858588,0.8585858585858588,0.8585858585858588,2.3419323,1.9601555,1.8742095
93,0.8787878787878789,0.8787878787878789,0.8787878787878789,2.3214917,1.9456642,1.8509004
94,0.8989898989898992,0.8989898989898992,0.8989898989898992,2.3010507,1.9322579,1.8275913
95,0.9191919191919193,0.9191919191919193,0.9191919191919193,2.28061,1.923425,1.8042823
96,0.9393939393939394,0.9393939393939394,0.9393939393939394,2.2601693,1.9184892,1.7809732
97,0.9595959595959598,0.9595959595959598,0.9595959595959598,2.2397285,1.9135532,1.757664
98,0.9797979797979799,0.9797979797979799,0.9797979797979799,2.2192879,1.9086175,1.734355
99,1.0,1.0,1.0,2.198847,1.9036815,1.7186751
