#DISTANCE:     AVE_GOFR:        ERROR:
     1.24401      1.3983   0.0027738
     1.26966     1.25051  0.00283674
     1.29531     1.13269  0.00378964
     1.32096     1.02885  0.00338599
     1.34661    0.946039  0.00415184
     1.37226    0.873798  0.00343172
     1.39791    0.815064  0.00485813
     1.42355    0.775734  0.00300112
      1.4492    0.736403  0.00551352
     1.47485    0.706433  0.00291833
      1.5005    0.685215  0.00402869
     1.52615    0.672648  0.00540277
      1.5518    0.666455   0.0039715
     1.57745    0.665911  0.00214344
      1.6031    0.672343  0.00212002
     1.62875    0.683757  0.00101217
      1.6544    0.694022  0.00144447
     1.68005    0.717844  0.00107906
      1.7057    0.748048  0.00213341
     1.73135    0.777656  0.00285995
       1.757    0.814306  0.00169018
     1.78265    0.852601  0.00316692
      1.8083     0.89438  0.00272809
     1.83395    0.941668  0.00355377
      1.8596     0.98065  0.00323123
     1.88525     1.02405  0.00415024
      1.9109     1.05987  0.00297246
     1.93655     1.09694  0.00500245
      1.9622     1.13255  0.00571747
     1.98785     1.16067  0.00351767
      2.0135     1.18235  0.00432694
     2.03915     1.20607  0.00290368
      2.0648     1.21525  0.00150786
     2.09045     1.21679  0.00138254
      2.1161     1.20977  0.00246429
     2.14174     1.19593  0.00184183
     2.16739     1.17854  0.00295292
     2.19304     1.15198   0.0021926
     2.21869     1.12704  0.00207138
     2.24434     1.09946  0.00386008
     2.26999     1.06614  0.00143157
     2.29564     1.03735  0.00306618
     2.32129     1.01123  0.00501801
     2.34694    0.987482  0.00457467
     2.37259    0.965265  0.00308273
     2.39824    0.945909  0.00378095
     2.42389    0.929878  0.00333812
     2.44954    0.914251  0.00235466
     2.47519    0.905044    0.002024
     2.50084    0.417592 0.000867516
     2.52649           0           0
     2.55214           0           0
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263 8.10512e-06 7.39893e-06
    0.884913   0.0011616 0.000190184
    0.910562   0.0245111 0.000418499
    0.936212    0.162333  0.00173017
    0.961861    0.557856  0.00419144
    0.987511     1.19237  0.00427208
     1.01316     1.85774  0.00658963
     1.03881     2.32919   0.0078742
     1.06446     2.55231  0.00778787
     1.09011     2.54119  0.00205856
     1.11576     2.40796   0.0060707
     1.14141     2.20658  0.00684205
     1.16706     1.97285  0.00433835
     1.19271     1.76384  0.00534416
     1.21836     1.56686  0.00231545
     1.24401     1.39724  0.00250735
     1.26966     1.25145  0.00251348
     1.29531     1.13281  0.00315986
     1.32096     1.02747  0.00309014
     1.34661    0.946854  0.00353912
     1.37226    0.874228  0.00288662
     1.39791    0.816665  0.00430419
     1.42355    0.778249  0.00339525
      1.4492    0.739003  0.00517139
     1.47485      0.7083  0.00296999
      1.5005    0.688423  0.00445483
     1.52615     0.67556  0.00522883
      1.5518    0.668282  0.00370591
     1.57745    0.668658  0.00307844
      1.6031    0.672741  0.00180361
     1.62875    0.683293 0.000943779
      1.6544    0.694471  0.00127163
     1.68005     0.71761  0.00092417
      1.7057    0.748197  0.00178303
     1.73135    0.777633  0.00238339
       1.757     0.81403  0.00143085
     1.78265    0.850591  0.00321436
      1.8083    0.893537  0.00240034
     1.83395     0.93826  0.00429512
      1.8596    0.978312  0.00343579
     1.88525     1.02114  0.00436267
      1.9109     1.05829  0.00286394
     1.93655      1.0929  0.00556589
      1.9622     1.12986  0.00536104
     1.98785     1.15866  0.00345554
