46,6.91194,7.75107,7.75107,7.78582,8.113,8.31957,8.31957,8.31957,8.31957,8.31957,8.4547,8.4547,8.4547,8.4547,8.4547,8.47632,8.47632,8.47632,8.47632,8.47632,8.47632,8.47632,8.47632,8.47632,8.47632,8.47632,8.47632,8.47632,8.47632,8.47632,8.47632,8.47632,8.47632,8.47632,8.53024,8.5676,8.61315,8.64618,8.65518,8.67833,8.67833,8.67833,8.67833,8.67833,8.67833,8.67833,8.67833,8.67833,8.67833,8.67833
47,6.91194,7.05062,7.55439,7.75107,7.75107,7.75107,7.75107,7.75107,7.75107,7.75107,8.113,8.113,8.113,8.113,8.113,8.31957,8.31957,8.31957,8.31957,8.31957,8.31957,8.31957,8.31957,8.31957,8.31957,8.31957,8.31957,8.31957,8.31957,8.31957,8.31957,8.31957,8.31957,8.4547,8.4547,8.4547,8.4547,8.4547,8.4547,8.4547,8.4547,8.4547,8.4547,8.4547,8.4547,8.4547,8.47632,8.47632,8.47632,8.47632
48,6.91194,6.91194,6.91194,7.24682,7.52734,7.75107,7.75107,7.75107,7.75107,7.75107,7.75107,7.75107,7.75107,7.75107,7.75107,7.75107,7.75107,7.75107,7.75107,7.75107,7.75107,7.75107,7.75107,7.75107,7.75107,7.75107,8.00459,8.113,8.113,8.113,8.113,8.113,8.113,8.113,8.113,8.113,8.113,8.113,8.113,8.113,8.113,8.16141,8.20761,8.21602,8.28203,8.48601,8.56712,8.73443,9.15928,9.22516
49,6.52301,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,7.24682,7.24682,7.52734,7.52734,7.52734,7.52734,7.553,7.75107,7.75107,7.75107,7.75107,7.75107,7.75107,7.75107,7.75107,7.75107,7.75107,7.75107,7.75107,7.75107,7.75107,7.75107,7.75107,7.75107,7.75107,7.75107,7.75107,7.75107,7.75107,7.75107,7.75107
50,6.52301,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194
51,6.52301,6.52301,6.88057,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194
52,6.47995,6.52301,6.52301,6.52301,6.52301,6.52301,6.7556,6.88057,6.88057,6.88057,6.88057,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194
53,6.34942,6.52301,6.52301,6.52301,6.52301,6.52301,6.52301,6.52301,6.52301,6.52301,6.52301,6.52301,6.52301,6.52301,6.52301,6.52301,6.52301,6.52301,6.7556,6.7556,6.7556,6.7556,6.7556,6.88057,6.88057,6.88057,6.88057,6.88057,6.88057,6.88057,6.88057,6.88057,6.88057,6.88057,6.88057,6.88057,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194,6.91194
54,6.28211,6.34942,6.34942,6.34942,6.34942,6.52301,6.52301,6.52301,6.52301,6.52301,6.52301,6.52301,6.52301,6.52301,6.52301,6.52301,6.52301,6.52301,6.52301,6.52301,6.52301,6.52301,6.52301,6.52301,6.52301,6.52301,6.52301,6.52301,6.52301,6.52301,6.52301,6.52301,6.52301,6.52301,6.52301,6.52301,6.52301,6.52301,6.52301,6.52301,6.52301,6.52301,6.52301,6.52301,6.52301,6.52301,6.52301,6.52301,6.52301,6.52301
55,6.28211,6.28211,6.28211,6.28211,6.28211,6.28211,6.34942,6.34942,6.34942,6.34942,6.34942,6.34942,6.34942,6.34942,6.34942,6.34942,6.34942,6.34942,6.34942,6.34942,6.34942,6.34942,6.34942,6.34942,6.34942,6.52301,6.52301,6.52301,6.52301,6.52301,6.52301,6.52301,6.52301,6.52301,6.52301,6.52301,6.52301,6.52301,6.52301,6.52301,6.52301,6.52301,6.52301,6.52301,6.52301,6.52301,6.52301,6.52301,6.52301,6.52301
56,6.28211,6.28211,6.28211,6.28211,6.28211,6.28211,6.28211,6.28211,6.28211,6.28211,6.28211,6.28211,6.28211,6.28211,6.28211,6.28211,6.28211,6.28211,6.28211,6.28211,6.28211,6.28211,6.28211,6.28211,6.28211,6.28211,6.34942,6.34942,6.34942,6.34942,6.34942,6.34942,6.34942,6.34942,6.34942,6.34942,6.34942,6.34942,6.34942,6.34942,6.34942,6.34942,6.34942,6.34942,6.34942,6.34942,6.34942,6.34942,6.34942,6.34942
