throws,avg
861, 289
862, 290
863, 290
864, 291
865, 292
866, 293
867, 294
868, 295
869, 295
870, 296
871, 297
872, 297
873, 298
874, 299
875, 299
876, 299
877, 299
878, 300
879, 301
880, 301
881, 301
882, 301
883, 301
884, 302
885, 302
886, 302
887, 303
888, 304
889, 305
890, 306
891, 306
892, 307
893, 308
894, 308
895, 308
896, 309
897, 310
898, 311
899, 311
900, 311
901, 311
902, 311
903, 311
904, 311
905, 312
906, 313
907, 313
908, 314
909, 314
910, 315
911, 316
912, 317
913, 318
914, 318
915, 319
916, 320
917, 321
918, 321
919, 321
920, 322
921, 322
922, 323
923, 323
924, 324
925, 324
926, 324
927, 324
928, 325
929, 325
930, 325
931, 326
932, 326
933, 326
934, 327
935, 328
936, 329
937, 329
938, 330
939, 330
940, 330
941, 331
942, 331
943, 331
944, 332
945, 332
946, 332
947, 332
948, 333
949, 333
950, 334
951, 334
952, 335
953, 336
954, 337
955, 337
956, 337
957, 337
958, 337
959, 337
960, 337
961, 337
962, 338
963, 338
964, 338
965, 338
966, 338
967, 338
968, 339
969, 339
970, 339
971, 340
972, 340
973, 340
974, 340
975, 340
976, 340
977, 340
978, 340
979, 340
980, 340
981, 340
982, 341
983, 341
984, 341
985, 341
986, 342
987, 342
988, 342
989, 343
990, 343
991, 343
992, 343
993, 343
994, 344
995, 344
996, 345
997, 346
998, 346
999, 347
1000, 347
1001, 348
1002, 349
1003, 349
1004, 350
1005, 350
1006, 350
1007, 351
1008, 352
1009, 352
1010, 352
1011, 352
1012, 352
1013, 353
1014, 354
1015, 355
1016, 356
1017, 356
1018, 357
1019, 357
1020, 357
1021, 357
1022, 357
1023, 357
1024, 357
1025, 357
1026, 357
1027, 357
1028, 357
1029, 358
1030, 358
1031, 359
1032, 360
1033, 361
1034, 361
1035, 362
1036, 362
1037, 362
1038, 362
1039, 363
1040, 363
1041, 363
1042, 363
1043, 364
1044, 365
1045, 366
1046, 367
1047, 368
1048, 369
1049, 369
1050, 370
1051, 370
1052, 370
1053, 370
1054, 370
1055, 371
1056, 371
1057, 371
1058, 371
1059, 371
1060, 371
1061, 372
1062, 372
1063, 372
1064, 372
1065, 373
1066, 373
1067, 373
1068, 374
1069, 374
1070, 374
1071, 375
1072, 375
1073, 375
1074, 375
1075, 376
1076, 376
1077, 376
1078, 377
1079, 377
1080, 377
1081, 377
1082, 377
1083, 377
1084, 377
1085, 377
1086, 377
1087, 377
1088, 377
1089, 378
1090, 378
1091, 378
1092, 379
1093, 379
1094, 380
1095, 380
1096, 381
1097, 382
1098, 382
1099, 382
1100, 382
1101, 383
1102, 383
1103, 383
1104, 383
1105, 383
1106, 384
1107, 384
1108, 384
1109, 384
1110, 384
1111, 384
1112, 385
1113, 385
1114, 385
1115, 385
1116, 385
1117, 385
1118, 385
1119, 385
1120, 386
1121, 386
1122, 387
1123, 387
1124, 388
1125, 389
1126, 390
1127, 391
1128, 391
1129, 391
1130, 391
1131, 391
1132, 391
1133, 391
1134, 392
1135, 392
1136, 393
1137, 394
1138, 394
1139, 394
1140, 394
1141, 395
1142, 395
1143, 395
1144, 395
1145, 396
1146, 396
1147, 396
1148, 397
1149, 397
1150, 397
1151, 397
1152, 397
1153, 398
1154, 398
1155, 398
1156, 399
1157, 400
1158, 400
1159, 400
1160, 400
1161, 400
1162, 400
1163, 400
1164, 400
1165, 401
1166, 401
1167, 401
1168, 401
1169, 401
1170, 402
1171, 403
1172, 404
1173, 405
1174, 405
1175, 406
1176, 406
1177, 406
1178, 406
1179, 406
1180, 407
1181, 407
1182, 407
1183, 407
1184, 407
1185, 407
1186, 407
1187, 407
1188, 407
1189, 408
1190, 408
1191, 408
1192, 409
1193, 409
1194, 410
1195, 411
1196, 411
1197, 412
1198, 413
1199, 414
1200, 414
1201, 414
1202, 415
1203, 416
1204, 417
1205, 417
1206, 418
1207, 418
1208, 418
1209, 418
1210, 418
1211, 419
1212, 419
1213, 419
1214, 419
1215, 420
1216, 420
1217, 420
1218, 420
1219, 420
1220, 420
1221, 420
1222, 421
1223, 421
1224, 421
1225, 421
1226, 421
1227, 422
1228, 422
1229, 423
1230, 424
1231, 425
1232, 425
1233, 425
1234, 425
1235, 426
1236, 426
1237, 426
1238, 426
1239, 426
1240, 426
1241, 426
1242, 426
1243, 426
1244, 427
1245, 428
1246, 428
1247, 429
1248, 429
1249, 430
1250, 430
1251, 430
1252, 431
1253, 431
1254, 432
1255, 432
1256, 433
1257, 433
1258, 433
1259, 433
1260, 433
1261, 434
1262, 435
1263, 435
1264, 435
1265, 436
1266, 436
1267, 437
1268, 437
1269, 437
1270, 437
1271, 437
1272, 438
1273, 438
1274, 438
1275, 439
1276, 440
1277, 440
1278, 440
1279, 440
1280, 440
1281, 440
1282, 440
1283, 440
1284, 440
1285, 441
1286, 442
1287, 443
1288, 444
1289, 444
1290, 445
1291, 445
1292, 445
1293, 445
1294, 445
1295, 445
1296, 446
1297, 447
1298, 447
1299, 447
1300, 447
1301, 447
1302, 447
1303, 447
1304, 447
1305, 448
1306, 448
1307, 449
1308, 450
1309, 450
1310, 450
1311, 450
1312, 450
1313, 450
1314, 450
1315, 450
1316, 450
1317, 450
1318, 451
1319, 451
1320, 452
1321, 452
1322, 452
1323, 452
1324, 453
1325, 453
1326, 453
1327, 454
1328, 455
1329, 455
1330, 455
