#N_BLOCK:  ACCEPTANCE:
           6   0.0929113
           7   0.0928214
           8   0.0934245
           9    0.093223
          10   0.0930533
          11   0.0933793
          12   0.0940331
          13   0.0942716
          14   0.0947254
          15   0.0946321
          16   0.0946036
          17   0.0941576
          18   0.0940281
          19   0.0942348
          20   0.0942539
           1    0.138151
           2    0.138771
           3    0.139217
           4     0.13946
           5    0.139502
           6    0.139339
           7    0.139955
           8    0.140057
           9    0.139751
          10    0.139839
          11     0.13973
          12    0.140058
          13    0.140183
          14    0.140307
          15     0.14029
          16    0.140399
          17    0.140415
          18    0.140224
          19    0.140264
          20    0.140379
           1    0.187586
           2    0.187153
           3    0.187691
           4    0.187553
           5    0.188115
           6    0.188004
           7    0.187793
           8    0.187748
           9    0.187614
          10    0.187607
          11    0.187567
          12    0.187576
          13    0.187436
          14    0.187446
          15    0.187446
          16    0.187546
          17    0.187528
          18    0.187469
          19    0.187536
          20    0.187582
           1    0.231123
           2    0.230593
           3    0.231012
           4    0.230991
           5    0.230989
           6    0.230876
           7     0.23112
           8    0.230808
           9     0.23078
          10    0.231037
          11    0.231005
          12    0.231338
          13    0.231292
          14     0.23115
          15    0.231034
          16     0.23106
          17    0.230883
          18    0.230988
          19    0.231034
          20    0.231152
           1     0.27265
           2    0.273464
           3    0.273734
           4    0.273719
           5    0.273917
           6    0.273674
           7    0.273612
           8     0.27374
           9    0.273692
          10    0.273487
          11    0.273437
          12    0.273607
          13    0.273509
          14    0.273474
          15    0.273409
          16    0.273449
          17    0.273347
          18    0.273273
          19    0.273267
          20    0.273283
           1    0.313089
           2    0.312436
           3    0.312413
           4    0.312267
           5    0.312105
           6    0.312383
           7    0.312124
           8    0.311899
           9    0.312043
          10    0.312121
          11    0.311751
          12    0.311857
          13    0.311804
          14    0.311752
          15    0.311792
          16    0.311741
          17    0.311839
          18    0.311948
          19    0.311963
          20    0.311955
           1    0.348577
           2    0.347245
           3     0.34776
           4    0.347763
           5    0.347988
           6    0.347887
           7    0.348242
           8    0.348185
           9    0.348244
          10    0.348269
          11    0.348121
          12    0.348098
          13    0.348003
          14    0.348099
          15    0.348207
          16    0.348129
          17    0.348232
          18    0.348104
          19    0.348263
          20    0.348239
           1    0.380568
           2    0.381091
           3    0.380938
           4    0.381382
           5    0.381637
           6    0.381912
           7    0.381483
           8    0.381513
           9    0.381507
          10    0.381508
          11    0.381644
          12    0.381661
          13    0.381693
          14    0.381764
          15    0.381823
          16    0.381833
          17    0.381728
          18    0.381606
          19    0.381509
          20    0.381584
           1    0.411548
           2     0.41132
           3    0.412098
           4    0.412422
           5     0.41215
           6    0.411921
           7    0.411977
           8    0.411856
           9    0.412025
          10    0.412162
          11    0.411991
          12    0.412148
          13    0.412097
          14     0.41206
          15     0.41218
          16    0.412153
          17    0.412263
          18    0.412242
          19    0.412153
          20    0.412162
           1    0.442992
           2    0.442362
           3    0.442184
           4    0.441522
           5    0.441051
           6    0.440987
           7    0.440807
           8    0.440837
           9     0.44091
          10    0.441119
          11    0.441179
          12    0.441312
          13    0.441274
          14    0.441153
          15    0.441237
          16    0.441237
          17    0.441132
          18    0.441043
          19    0.441045
          20    0.441048
           1    0.466793
           2    0.466088
           3    0.466217
           4    0.466283
           5    0.466452
           6    0.466292
           7    0.466566
           8    0.466355
           9    0.466353
          10     0.46642
          11    0.466488
          12     0.46653
          13    0.466477
          14    0.466557
          15    0.466568
          16    0.466451
          17    0.466529
          18    0.466494
          19    0.466377
          20    0.466413
           1    0.491865
           2    0.491409
           3    0.491168
           4    0.491029
           5    0.491377
           6    0.490918
           7    0.491013
           8    0.491121
           9    0.491178
          10    0.491136
          11    0.491141
          12    0.491141
          13    0.491152
          14    0.491125
          15    0.491171
          16    0.491199
          17    0.491112
          18    0.491129
          19    0.491167
          20    0.491164
           1    0.514252
           2    0.513613
           3    0.513328
           4    0.512656
           5    0.512402
           6    0.512677
           7    0.512829
           8    0.512985
           9    0.513141
          10    0.513223
          11    0.513271
          12    0.513227
          13    0.513341
          14    0.513435
          15    0.513425
          16    0.513327
          17    0.513326
          18    0.513353
          19    0.513341
          20    0.513316
           1    0.533747
           2    0.533548
           3    0.533466
           4    0.533492
           5    0.533259
           6    0.533628
           7    0.533614
           8    0.533578
           9    0.533661
          10    0.533529
          11    0.533451
          12    0.533434
          13    0.533371
          14    0.533294
          15    0.533378
          16    0.533406
          17    0.533396
          18    0.533458
          19    0.533403
          20    0.533427
           1    0.550527
           2    0.551118
           3    0.551631
           4    0.551767
           5    0.552093
           6    0.552282
           7    0.552201
           8    0.552476
           9    0.552579
          10    0.552658
          11    0.552821
          12     0.55281
          13    0.552802
          14    0.552879
          15    0.552883
          16    0.552811
          17    0.552859
          18    0.552883
          19    0.552917
          20     0.55301
           1    0.570248
           2    0.569823
           3    0.569961
           4    0.570273
           5    0.570384
           6    0.570444
           7    0.570425
           8    0.570491
           9    0.570456
          10    0.570404
          11     0.57047
          12    0.570346
          13    0.570183
          14    0.570195
          15    0.570207
          16    0.570259
          17    0.570274
          18    0.570312
          19    0.570339
          20    0.570264
           1    0.587299
           2    0.587022
           3    0.587089
           4    0.587017
           5    0.587059
           6    0.587107
           7    0.587043
           8    0.587093
           9     0.58704
          10    0.586825
          11    0.586741
          12    0.586779
          13    0.586721
          14    0.586758
          15    0.586777
          16     0.58678
          17    0.586798
          18    0.586849
          19    0.586869
          20    0.586838
           1    0.602987
           2    0.603227
           3    0.602979
           4    0.602805
           5    0.602847
           6    0.602727
           7    0.602529
           8    0.602211
           9    0.602155
          10    0.602236
          11    0.602252
          12    0.602125
          13    0.602043
          14    0.602043
          15    0.602006
          16    0.602066
          17    0.602061
          18    0.601994
          19    0.602037
          20    0.602062
           1     0.61628
           2    0.616605
           3    0.616513
           4    0.616425
           5     0.61642
           6    0.616461
           7     0.61654
           8    0.616533
           9    0.616638
          10    0.616638
          11    0.616517
          12    0.616545
          13    0.616579
          14    0.616505
          15    0.616509
          16    0.616544
          17    0.616508
          18    0.616633
          19    0.616591
          20    0.616574
           1     0.63062
           2    0.629405
           3    0.629838
           4    0.629997
           5    0.629712
           6    0.629888
           7    0.629889
           8    0.629969
           9    0.629948
          10    0.629893
          11    0.629848
          12    0.629921
          13    0.629795
          14     0.62985
          15     0.62981
          16    0.629736
          17     0.62977
          18    0.629763
          19    0.629778
          20    0.629774
           1    0.641718
           2    0.642265
           3    0.642319
           4    0.642355
           5    0.642257
           6    0.642224
           7    0.642227
           8    0.642214
           9    0.642115
          10    0.642148
          11    0.642199
          12    0.642211
          13    0.642318
          14     0.64234
          15    0.642352
          16    0.642395
          17     0.64235
          18    0.642374
          19    0.642345
          20     0.64238
           1    0.652873
           2    0.653066
           3    0.653105
           4    0.653293
           5    0.653437
           6     0.65357
           7    0.653472
           8    0.653498
           9    0.653491
          10    0.653485
          11    0.653564
          12    0.653601
          13    0.653597
          14     0.65367
          15    0.653678
          16    0.653699
          17     0.65366
          18    0.653788
          19    0.653799
          20     0.65384
           1    0.665978
           2    0.665221
           3    0.664488
           4    0.664763
           5    0.664826
           6    0.664616
           7    0.664658
           8    0.664693
           9    0.664781
          10    0.664657
          11    0.664601
          12    0.664625
          13     0.66457
          14    0.664621
          15     0.66463
          16    0.664677
          17    0.664727
          18    0.664724
          19    0.664732
          20    0.664719
