#BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         310     2.98172     2.97278 0.000861771
         311     2.98225     2.97281 0.000859537
         312     2.98277     2.97284 0.000857375
         313     2.98327     2.97288 0.000855282
         314     2.98375     2.97291 0.000853258
         315     2.98421     2.97295 0.000851303
         316     2.98464     2.97298 0.000849413
         317     2.98506     2.97302 0.000847588
         318     2.98545     2.97306 0.000845823
         319     2.98582      2.9731 0.000844117
         320     2.98616     2.97314 0.000842464
         321     2.98647     2.97318 0.000840862
         322     2.98675     2.97322 0.000839306
         323       2.987     2.97327  0.00083779
         324     2.98722     2.97331 0.000836311
         325     2.98741     2.97335 0.000834862
         326     2.98756      2.9734 0.000833438
         327     2.98768     2.97344 0.000832033
         328     2.98776     2.97348 0.000830642
         329     2.98781     2.97353 0.000829257
         330     2.98782     2.97357 0.000827875
         331     2.98779     2.97361 0.000826487
         332     2.98772     2.97366 0.000825089
         333     2.98761      2.9737 0.000823674
         334     2.98746     2.97374 0.000822237
         335     2.98726     2.97378 0.000820774
         336     2.98703     2.97382 0.000819277
         337     2.98675     2.97386 0.000817744
         338     2.98643      2.9739 0.000816169
         339     2.98606     2.97393  0.00081455
         340     2.98565     2.97397 0.000812883
         341     2.98519       2.974 0.000811165
         342     2.98469     2.97403 0.000809395
         343     2.98414     2.97406 0.000807572
         344     2.98355     2.97409 0.000805695
         345     2.98291     2.97411 0.000803765
         346     2.98222     2.97414 0.000801784
         347     2.98149     2.97416 0.000799754
         348     2.98072     2.97418 0.000797678
         349      2.9799     2.97419  0.00079556
         350     2.97903     2.97421 0.000793407
         351     2.97812     2.97422 0.000791226
         352     2.97717     2.97423 0.000789022
         353     2.97618     2.97423 0.000786806
         354     2.97514     2.97423 0.000784588
         355     2.97406     2.97423 0.000782378
         356     2.97294     2.97423 0.000780189
         357     2.97178     2.97422 0.000778033
         358     2.97059     2.97421 0.000775927
         359     2.96935      2.9742 0.000773883
         360     2.96808     2.97418 0.000771921
         361     2.96677     2.97416 0.000770055
         362     2.96543     2.97414 0.000768306
         363     2.96405     2.97411 0.000766692
         364     2.96264     2.97408 0.000765233
         365     2.96121     2.97404 0.000763948
         366     2.95974       2.974  0.00076286
         367     2.95825     2.97396 0.000761988
         368     2.95674     2.97391 0.000761352
         369     2.95521     2.97386 0.000760974
         370     2.95367     2.97381 0.000760871
         371     2.95212     2.97375 0.000761063
         372     2.95057     2.97369 0.000761564
         373     2.94902     2.97362 0.000762388
         374     2.94748     2.97355 0.000763546
         375     2.94597     2.97348 0.000765045
         376     2.94448      2.9734 0.000766886
         377     2.94304     2.97332 0.000769069
         378     2.94165     2.97324 0.000771585
         379     2.94033     2.97315  0.00077442
         380     2.93908     2.97306 0.000777554
         381     2.93793     2.97297  0.00078096
         382     2.93689     2.97287 0.000784606
         383     2.93597     2.97278 0.000788451
         384     2.93519     2.97268  0.00079245
         385     2.93456     2.97258 0.000796553
         386     2.93409     2.97248 0.000800706
         387      2.9338     2.97238 0.000804853
         388     2.93369     2.97228 0.000808934
         389     2.93376     2.97218 0.000812891
         390     2.93404     2.97208  0.00081667
         391     2.93451     2.97199 0.000820215
         392     2.93518     2.97189 0.000823481
         393     2.93604      2.9718 0.000826423
         394     2.93709     2.97172 0.000829009
         395     2.93832     2.97163 0.000831211
         396     2.93971     2.97155 0.000833012
         397     2.94126     2.97147 0.000834401
         398     2.94294      2.9714  0.00083538
         399     2.94474     2.97134 0.000835955
         400     2.94664     2.97127 0.000836141
         401     2.94862     2.97122 0.000835962
         402     2.95067     2.97117 0.000835444
         403     2.95275     2.97112  0.00083462
         404     2.95485     2.97108 0.000833525
         405     2.95696     2.97104 0.000832195
         406     2.95905     2.97102  0.00083067
         407     2.96111     2.97099 0.000828985
         408     2.96312     2.97097 0.000827178
         409     2.96506     2.97096 0.000825282
         410     2.96693     2.97095 0.000823327
         411     2.96871     2.97094 0.000821342
         412     2.97039     2.97094  0.00081935
         413     2.97197     2.97094  0.00081737
         414     2.97344     2.97095 0.000815418
         415     2.97478     2.97096 0.000813505
         416     2.97601     2.97097  0.00081164
         417      2.9771     2.97099 0.000809827
         418     2.97807       2.971 0.000808067
         419     2.97891     2.97102 0.000806358
         420     2.97961     2.97104 0.000804698
         421     2.98018     2.97106  0.00080308
         422     2.98063     2.97109 0.000801496
         423     2.98094     2.97111  0.00079994
         424     2.98112     2.97113 0.000798401
         425     2.98117     2.97116 0.000796871
         426     2.98109     2.97118 0.000795342
         427     2.98089      2.9712 0.000793804
         428     2.98056     2.97122 0.000792251
         429     2.98012     2.97125 0.000790675
         430     2.97955     2.97126 0.000789072
         431     2.97886     2.97128 0.000787439
         432     2.97806      2.9713 0.000785772
         433     2.97715     2.97131 0.000784074
         434     2.97613     2.97132 0.000782346
         435     2.97499     2.97133 0.000780593
         436     2.97375     2.97134 0.000778822
         437     2.97241     2.97134 0.000777044
         438     2.97097     2.97134  0.00077527
         439     2.96943     2.97133 0.000773516
         440      2.9678     2.97133   0.0007718
         441     2.96607     2.97131 0.000770142
         442     2.96427      2.9713 0.000768565
         443     2.96238     2.97128 0.000767093
         444     2.96042     2.97125 0.000765756
         445     2.95839     2.97122  0.00076458
         446     2.95629     2.97119 0.000763599
         447     2.95414     2.97115 0.000762842
         448     2.95195     2.97111 0.000762343
         449     2.94971     2.97106 0.000762134
         450     2.94744     2.97101 0.000762246
         451     2.94515     2.97095  0.00076271
         452     2.94284     2.97089 0.000763554
         453     2.94053     2.97082 0.000764805
         454     2.93822     2.97075 0.000766486
         455     2.93592     2.97067 0.000768615
         456     2.93364     2.97059 0.000771208
         457      2.9314     2.97051 0.000774275
         458     2.92919     2.97042 0.000777822
         459     2.92703     2.97032 0.000781851
