#BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         508     1.95653     1.97654 0.000692368
         509     1.95735      1.9765 0.000692034
         510     1.95814     1.97647 0.000691614
         511     1.95889     1.97643 0.000691115
         512     1.95963      1.9764 0.000690544
         513     1.96033     1.97637 0.000689908
         514     1.96102     1.97634 0.000689211
         515     1.96168     1.97631  0.00068846
         516     1.96233     1.97628 0.000687659
         517     1.96296     1.97626 0.000686811
         518     1.96358     1.97623 0.000685921
         519     1.96419     1.97621 0.000684992
         520     1.96479     1.97619 0.000684027
         521     1.96537     1.97617 0.000683029
         522     1.96595     1.97615    0.000682
         523     1.96653     1.97613 0.000680944
         524      1.9671     1.97611 0.000679863
         525     1.96766      1.9761 0.000678759
         526     1.96822     1.97608 0.000677633
         527     1.96877     1.97607  0.00067649
         528     1.96932     1.97605 0.000675329
         529     1.96986     1.97604 0.000674154
         530     1.97039     1.97603 0.000672967
         531     1.97092     1.97602 0.000671768
         532     1.97144     1.97601 0.000670561
         533     1.97194     1.97601 0.000669346
         534     1.97244       1.976 0.000668126
         535     1.97292     1.97599 0.000666902
         536     1.97339     1.97599 0.000665675
         537     1.97384     1.97598 0.000664448
         538     1.97427     1.97598  0.00066322
         539     1.97469     1.97598 0.000661994
         540     1.97508     1.97598  0.00066077
         541     1.97544     1.97598  0.00065955
         542     1.97578     1.97598 0.000658333
         543     1.97609     1.97598 0.000657121
         544     1.97637     1.97598 0.000655913
         545     1.97662     1.97598 0.000654711
         546     1.97684     1.97598 0.000653513
         547     1.97702     1.97598 0.000652321
         548     1.97717     1.97598 0.000651135
         549     1.97727     1.97599 0.000649953
         550     1.97734     1.97599 0.000648776
         551     1.97737     1.97599 0.000647603
         552     1.97736     1.97599 0.000646435
         553     1.97731       1.976  0.00064527
         554     1.97721       1.976 0.000644109
         555     1.97708       1.976 0.000642951
         556      1.9769       1.976 0.000641797
         557     1.97668       1.976 0.000640646
         558     1.97641       1.976 0.000639498
         559     1.97611       1.976 0.000638354
         560     1.97576       1.976 0.000637215
         561     1.97538       1.976  0.00063608
         562     1.97495       1.976 0.000634951
         563     1.97449       1.976 0.000633828
         564       1.974     1.97599 0.000632715
         565     1.97347     1.97599  0.00063161
         566     1.97292     1.97598 0.000630518
         567     1.97233     1.97598 0.000629439
         568     1.97172     1.97597 0.000628375
         569     1.97109     1.97596 0.000627329
         570     1.97044     1.97595 0.000626303
         571     1.96978     1.97594   0.0006253
         572     1.96911     1.97593 0.000624321
         573     1.96843     1.97592 0.000623368
         574     1.96775      1.9759 0.000622445
         575     1.96708     1.97589 0.000621551
         576     1.96641     1.97587  0.00062069
         577     1.96576     1.97585 0.000619862
         578     1.96512     1.97583 0.000619067
         579     1.96451     1.97581 0.000618307
         580     1.96392     1.97579 0.000617581
         581     1.96337     1.97577 0.000616888
         582     1.96285     1.97575 0.000616227
         583     1.96238     1.97573 0.000615597
         584     1.96195      1.9757 0.000614995
         585     1.96157     1.97568 0.000614418
         586     1.96124     1.97566 0.000613863
         587     1.96097     1.97563 0.000613327
         588     1.96075      1.9756 0.000612806
         589      1.9606     1.97558 0.000612295
         590     1.96051     1.97555  0.00061179
         591     1.96047     1.97553 0.000611287
         592     1.96051      1.9755  0.00061078
         593      1.9606     1.97548 0.000610267
         594     1.96075     1.97545 0.000609743
         595     1.96097     1.97543 0.000609204
         596     1.96124      1.9754 0.000608647
         597     1.96157     1.97538 0.000608069
         598     1.96194     1.97536 0.000607467
         599     1.96237     1.97534  0.00060684
         600     1.96284     1.97532 0.000606186
         601     1.96336      1.9753 0.000605504
         602      1.9639     1.97528 0.000604794
         603     1.96448     1.97526 0.000604056
         604     1.96509     1.97524  0.00060329
         605     1.96571     1.97523 0.000602499
         606     1.96635     1.97521 0.000601683
         607       1.967      1.9752 0.000600843
         608     1.96766     1.97519 0.000599983
         609     1.96831     1.97518 0.000599104
         610     1.96896     1.97517 0.000598209
         611      1.9696     1.97516 0.000597299
         612     1.97022     1.97515 0.000596378
         613     1.97082     1.97514 0.000595447
         614      1.9714     1.97514 0.000594508
         615     1.97196     1.97513 0.000593564
         616     1.97248     1.97513 0.000592616
         617     1.97296     1.97512 0.000591666
         618     1.97341     1.97512 0.000590715
         619     1.97382     1.97512 0.000589764
         620     1.97419     1.97512 0.000588815
         621     1.97452     1.97511 0.000587867
         622      1.9748     1.97511 0.000586923
         623     1.97503     1.97511  0.00058598
         624     1.97521     1.97511 0.000585041
         625     1.97535     1.97511 0.000584105
         626     1.97545     1.97512 0.000583173
         627     1.97549     1.97512 0.000582243
         628     1.97549     1.97512 0.000581316
         629     1.97545     1.97512 0.000580392
         630     1.97536     1.97512 0.000579471
         631     1.97523     1.97512 0.000578553
         632     1.97507     1.97512 0.000577637
         633     1.97487     1.97512 0.000576725
         634     1.97463     1.97512 0.000575816
         635     1.97437     1.97512  0.00057491
         636     1.97409     1.97511 0.000574008
         637     1.97378     1.97511 0.000573111
         638     1.97346     1.97511 0.000572219
         639     1.97313     1.97511 0.000571331
         640     1.97279      1.9751  0.00057045
         641     1.97245      1.9751 0.000569575
         642     1.97211     1.97509 0.000568707
         643     1.97178     1.97509 0.000567846
         644     1.97146     1.97508 0.000566992
         645     1.97117     1.97508 0.000566146
         646     1.97089     1.97507 0.000565306
         647     1.97065     1.97506 0.000564474
         648     1.97043     1.97506 0.000563648
         649     1.97026     1.97505 0.000562828
         650     1.97012     1.97504 0.000562013
         651     1.97002     1.97503 0.000561203
         652     1.96998     1.97503 0.000560396
         653     1.96997     1.97502 0.000559591
         654     1.97002     1.97501 0.000558787
         655     1.97012       1.975 0.000557984
         656     1.97026       1.975  0.00055718
         657     1.97046     1.97499 0.000556375
         658     1.97071     1.97498 0.000555568
         659       1.971     1.97498 0.000554757
         660     1.97133     1.97497 0.000553944
         661     1.97171     1.97497 0.000553128
         662     1.97213     1.97496 0.000552309
         663     1.97258     1.97496 0.000551488
         664     1.97307     1.97495 0.000550665
         665     1.97359     1.97495  0.00054984
         666     1.97412     1.97495 0.000549016
         667     1.97468     1.97495 0.000548193
         668     1.97526     1.97495 0.000547373
         669     1.97584     1.97495 0.000546556
         670     1.97643     1.97496 0.000545745
         671     1.97703     1.97496  0.00054494
         672     1.97762     1.97496 0.000544144
         673      1.9782     1.97497 0.000543357
         674     1.97878     1.97497  0.00054258
         675     1.97934     1.97498 0.000541814
         676     1.97988     1.97499 0.000541061
         677      1.9804     1.97499 0.000540321
         678     1.98089       1.975 0.000539594
         679     1.98136     1.97501 0.000538881
         680     1.98179     1.97502 0.000538181
         681      1.9822     1.97503 0.000537493
         682     1.98256     1.97504 0.000536819
         683     1.98289     1.97506 0.000536156
         684     1.98317     1.97507 0.000535503
         685     1.98342     1.97508  0.00053486
         686     1.98361     1.97509 0.000534225
         687     1.98376      1.9751 0.000533596
         688     1.98386     1.97512 0.000532972
         689     1.98391     1.97513 0.000532352
         690     1.98391     1.97514 0.000531732
         691     1.98386     1.97516 0.000531112
         692     1.98375     1.97517  0.00053049
         693     1.98359     1.97518 0.000529864
         694     1.98337     1.97519 0.000529231
         695     1.98309      1.9752 0.000528592
         696     1.98275     1.97521 0.000527944
         697     1.98236     1.97522 0.000527286
         698     1.98191     1.97523 0.000526618
         699      1.9814     1.97524 0.000525938
         700     1.98083     1.97525 0.000525247
         701     1.98019     1.97526 0.000524545
         702      1.9795     1.97526 0.000523833
         703     1.97875     1.97527 0.000523111
         704     1.97795     1.97527 0.000522382
         705     1.97708     1.97528 0.000521647
         706     1.97616     1.97528  0.00052091
         707     1.97518     1.97528 0.000520173
         708     1.97414     1.97527 0.000519441
         709     1.97305     1.97527 0.000518718
