#BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         250     3.23017     3.22137  0.00780479
         251     3.21732     3.22135  0.00777372
         252     3.23015     3.22138  0.00774295
         253     3.24227     3.22147  0.00771278
         254     3.23728     3.22153  0.00768267
         255      3.2246     3.22154  0.00765255
         256     3.22171     3.22154  0.00762266
         257     3.22973     3.22157  0.00759306
         258     3.25046     3.22169  0.00756446
         259     3.26483     3.22185  0.00753709
         260      3.2467     3.22195   0.0075087
         261     3.18984     3.22182  0.00748094
         262     3.14539     3.22153  0.00745808
         263     3.13023     3.22119  0.00743779
         264     3.17334       3.221  0.00741183
         265     3.23846     3.22107  0.00738415
         266     3.25876     3.22121  0.00735775
         267     3.24614     3.22131  0.00733079
         268     3.23229     3.22135  0.00730355
         269     3.21214     3.22131  0.00727648
         270     3.20886     3.22127  0.00724967
         271     3.21693     3.22125  0.00722294
         272     3.19282     3.22115  0.00719714
         273     3.24729     3.22124  0.00717141
         274      3.2894     3.22149  0.00714955
         275       3.278      3.2217  0.00712651
         276     3.24854     3.22179  0.00710135
         277     3.24092     3.22186  0.00707605
         278     3.24398     3.22194  0.00705104
         279     3.25083     3.22205  0.00702653
         280     3.26261     3.22219  0.00700293
         281     3.28828     3.22243  0.00698196
         282     3.31477     3.22275  0.00696487
         283     3.31877     3.22309  0.00694852
         284     3.31405     3.22341  0.00693143
         285     3.32714     3.22378  0.00691666
         286     3.33516     3.22417  0.00690343
         287     3.32519     3.22452  0.00688835
         288     3.32368     3.22486  0.00687303
         289     3.33049     3.22523  0.00685896
         290     3.32078     3.22556  0.00684321
         291     3.28328     3.22576  0.00682257
         292     3.25203     3.22585   0.0067998
         293     3.24874     3.22592  0.00677704
         294     3.22343     3.22592    0.006754
         295     3.20986     3.22586  0.00673132
         296     3.23661      3.2259  0.00670868
         297     3.26459     3.22603  0.00668735
         298     3.27477     3.22619  0.00666691
         299     3.26999     3.22634  0.00664623
         300     3.26298     3.22646  0.00662519
         301     3.25881     3.22657  0.00660405
         302      3.2577     3.22667  0.00658299
         303     3.25905     3.22678  0.00656213
         304     3.26222     3.22689  0.00654158
         305     3.26656     3.22702  0.00652143
         306     3.27147     3.22717  0.00650173
         307      3.2762     3.22733  0.00648252
         308     3.27971      3.2275   0.0064637
         309     3.28077     3.22767  0.00644508
         310     3.27883     3.22784   0.0064264
         311     3.27639     3.22799  0.00640763
         312     3.27436     3.22814  0.00638882
         313       3.263     3.22825  0.00636938
         314     3.26825     3.22838  0.00635037
         315     3.29703      3.2286  0.00633395
         316     3.29199      3.2288  0.00631708
         317      3.2604      3.2289  0.00629794
         318     3.25536     3.22898  0.00627868
         319     3.28239     3.22915  0.00626123
         320     3.30198     3.22938   0.0062458
         321     3.30321     3.22961  0.00623058
         322     3.29511     3.22981  0.00621455
         323     3.28498     3.22998  0.00619765
         324     3.27282     3.23011  0.00617994
         325      3.2608     3.23021  0.00616164
         326     3.25776     3.23029  0.00614332
         327     3.25829     3.23038  0.00612513
         328     3.24139     3.23041  0.00610655
         329     3.23194     3.23042  0.00608799
         330     3.24842     3.23047  0.00606979
         331     3.23987      3.2305  0.00605151
         332     3.22479     3.23048  0.00603331
         333     3.25041     3.23054  0.00601549
