#BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         224     2.17099     2.14524   0.0057816
         225      2.1534     2.14528  0.00575601
         226     2.15738     2.14533  0.00573079
         227     2.17718     2.14547  0.00570726
         228     2.18289     2.14564  0.00568459
         229     2.17927     2.14578  0.00566167
         230     2.17369     2.14591  0.00563835
         231     2.17057     2.14601  0.00561495
         232     2.16843     2.14611  0.00559158
         233     2.16931     2.14621  0.00556847
         234     2.17501     2.14633  0.00554603
         235     2.18058     2.14648  0.00552435
         236     2.18103     2.14662  0.00550288
         237     2.16664     2.14671  0.00548031
         238      2.1476     2.14671  0.00545728
         239     2.16136     2.14677  0.00543479
         240      2.1536      2.1468  0.00541222
         241     2.15586     2.14684   0.0053899
         242     2.17708     2.14696  0.00536907
         243     2.18583     2.14712  0.00534936
         244      2.1704     2.14722  0.00532829
         245     2.14661     2.14722  0.00530654
         246     2.16247     2.14728  0.00528533
         247     2.16959     2.14737   0.0052647
         248     2.17191     2.14747   0.0052444
         249     2.16875     2.14755  0.00522404
         250     2.15344     2.14758   0.0052032
         251     2.14488     2.14757  0.00518248
         252     2.15343     2.14759  0.00516196
         253     2.16152     2.14764  0.00514185
         254     2.15819     2.14769  0.00512178
         255     2.14973     2.14769   0.0051017
         256     2.14781     2.14769  0.00508177
         257     2.15315     2.14772  0.00506204
         258     2.16698     2.14779  0.00504297
         259     2.17656      2.1479  0.00502472
         260     2.16447     2.14797   0.0050058
         261     2.12656     2.14788  0.00498729
         262     2.09693     2.14769  0.00497205
         263     2.08682     2.14746  0.00495853
         264     2.11556     2.14734  0.00494122
         265     2.15897     2.14738  0.00492277
         266     2.17251     2.14747  0.00490517
         267     2.16409     2.14754  0.00488719
         268     2.15486     2.14756  0.00486903
         269     2.14142     2.14754  0.00485098
         270     2.13924     2.14751  0.00483312
         271     2.14462      2.1475  0.00481529
         272     2.12855     2.14743  0.00479809
         273     2.16486     2.14749  0.00478094
         274     2.19293     2.14766  0.00476637
         275     2.18533      2.1478  0.00475101
         276      2.1657     2.14786  0.00473423
         277     2.16061     2.14791  0.00471737
         278     2.16265     2.14796   0.0047007
         279     2.16722     2.14803  0.00468435
         280     2.17507     2.14813  0.00466862
         281     2.19219     2.14828  0.00465464
         282     2.20985      2.1485  0.00464325
         283     2.21251     2.14873  0.00463235
         284     2.20936     2.14894  0.00462095
         285     2.21809     2.14918  0.00461111
         286     2.22344     2.14944  0.00460229
         287      2.2168     2.14968  0.00459223
         288     2.21579     2.14991  0.00458202
         289     2.22033     2.15015  0.00457264
         290     2.21385     2.15037  0.00456214
         291     2.18885      2.1505  0.00454838
         292     2.16802     2.15056   0.0045332
         293     2.16582     2.15062  0.00451803
         294     2.14895     2.15061  0.00450266
         295      2.1399     2.15057  0.00448755
         296     2.15774      2.1506  0.00447245
         297     2.17639     2.15068  0.00445824
         298     2.18318     2.15079  0.00444461
         299     2.17999     2.15089  0.00443082
         300     2.17532     2.15097   0.0044168
         301     2.17254     2.15104   0.0044027
         302      2.1718     2.15111  0.00438866
         303      2.1727     2.15118  0.00437476
         304     2.17481     2.15126  0.00436105
         305     2.17771     2.15135  0.00434762
         306     2.18098     2.15145  0.00433449
         307     2.18413     2.15155  0.00432168
         308     2.18648     2.15167  0.00430913
         309     2.18718     2.15178  0.00429672
         310     2.18589     2.15189  0.00428427
         311     2.18426     2.15199  0.00427176
         312      2.1829     2.15209  0.00425921
         313     2.17533     2.15217  0.00424625
         314     2.17883     2.15225  0.00423358
         315     2.19802      2.1524  0.00422263
         316     2.19466     2.15253  0.00421139
         317      2.1736      2.1526  0.00419862
         318     2.17024     2.15265  0.00418579
         319     2.18826     2.15277  0.00417415
         320     2.20132     2.15292  0.00416387
         321     2.20214     2.15307  0.00415372
         322     2.19674     2.15321  0.00414303
         323     2.18999     2.15332  0.00413177
         324     2.18188     2.15341  0.00411996
         325     2.17387     2.15347  0.00410776
         326     2.17184     2.15353  0.00409555
         327      2.1722     2.15358  0.00408342
         328     2.16093     2.15361  0.00407103
         329     2.15462     2.15361  0.00405866
