TEMP, STEP, MU, SIGMA, BLOCK, EN, ERR
4, 113, 0.171106, 1.44409, 300, 0.889732, 0.0049863
4, 114, 0.171106, 1.44409, 300, 0.889732, 0.0105675
4, 115, 0.231167, 1.73897, 300, 3.2096, 0.0141604
4, 116, 0.431262, 1.58369, 300, 2.06088, 0.00947066
4, 117, 0.431262, 1.58369, 300, 2.06088, 0.0165867
4, 118, 0.431262, 1.58369, 300, 2.06088, 0.0348157
4, 119, 0.431262, 1.58369, 300, 2.06088, 0.0316993
4, 120, 0.365744, 1.16361, 300, -0.0141247, 0.00147108
4, 121, 0.793617, 0.824531, 300, -0.250727, 0.00104371
4, 122, 0.793617, 0.824531, 300, -0.250727, 0.0153229
4, 123, 0.462899, 0.995997, 300, -0.217518, 0.000960831
4, 124, 0.777247, 0.815823, 300, -0.284037, 0.00109294
4, 125, 1.09177, 0.573585, 300, -0.0896946, 0.000486003
4, 126, 1.09177, 0.573585, 300, -0.0896946, 0.0595411
4, 127, 1.09177, 0.573585, 300, -0.0896946, 0.00946831
4, 128, 1.09177, 0.573585, 300, -0.0896946, 0.014251
4, 129, 1.09177, 0.573585, 300, -0.0896946, 0.00638184
4, 130, 0.652167, 0.759108, 300, -0.348679, 0.00118847
4, 131, 0.539246, 0.837749, 300, -0.285734, 0.00100557
4, 132, 0.208821, 1.22971, 300, 0.0258305, 0.00141555
4, 133, 0.208821, 1.22971, 300, 0.0258305, 0.00986386
4, 134, 0.208821, 1.22971, 300, 0.0258305, 0.011594
4, 135, 0.149628, 0.766664, 300, -0.0699335, 0.000367847
4, 136, 0.548444, 0.650304, 300, -0.268301, 0.000917943
4, 137, 0.344492, 0.705989, 300, -0.100453, 0.00042925
4, 138, 0.28267, 0.39046, 300, 0.729412, 0.00247947
4, 139, 0.28267, 0.39046, 300, 0.729412, 0.117384
4, 140, 0.472652, 0.595232, 300, -0.129713, 0.00051187
4, 141, 0.96861, 0.431194, 300, 0.125478, 0.000599678
4, 142, 0.822272, 0.803103, 300, -0.271563, 0.00111722
4, 143, 0.711652, 0.750272, 300, -0.350772, 0.00120797
4, 144, 1.20265, 0.678955, 300, 0.411856, 0.00167509
4, 145, 1.20265, 0.678955, 300, 0.411856, 0.00855442
4, 146, 1.10678, 0.702922, 300, 0.112988, 0.00103684
4, 147, 0.704661, 0.686045, 300, -0.400157, 0.00134826
4, 148, 0.704661, 0.686045, 300, -0.400157, 0.00916032
4, 149, 0.704661, 0.686045, 300, -0.400157, 0.00143009
4, 150, 1.15922, 0.534226, 300, 0.104373, 0.000540611
4, 151, 1.15922, 0.534226, 300, 0.104373, 0.00922902
4, 152, 0.933105, 0.957345, 300, 0.254192, 0.00176313
4, 153, 0.80651, 0.586947, 300, -0.437435, 0.00146402
4, 154, 0.80651, 0.586947, 300, -0.437435, 0.055005
4, 155, 0.80651, 0.586947, 300, -0.437435, 0.00157527
4, 156, 0.957516, 1.02412, 300, 0.63664, 0.0031728
4, 157, 0.930206, 0.715087, 300, -0.285251, 0.0010825
4, 158, 1.15952, 0.825532, 300, 0.712222, 0.00292695
4, 159, 1.42782, 0.723173, 300, 2.23287, 0.00781504
4, 160, 1.50215, 0.75796, 300, 3.22107, 0.0111889
4, 161, 1.20808, 0.871724, 300, 1.29286, 0.00496486
4, 162, 0.950724, 1.33289, 300, 2.3849, 0.010652
4, 163, 1.23305, 0.906416, 300, 1.46229, 0.00556042
4, 164, 0.994907, 0.718752, 300, -0.174672, 0.000909749
4, 165, 0.728069, 0.387166, 300, 0.374584, 0.00139673
4, 166, 0.457959, 0.645703, 300, -0.156713, 0.000583211
4, 167, 0.457959, 0.645703, 300, -0.156713, 0.00180424
4, 168, 0.681182, 0.58144, 300, -0.386595, 0.00129851
4, 169, 0.770631, 0.768264, 300, -0.336079, 0.00119445
4, 170, 0.343253, 1.2193, 300, 0.065092, 0.00150619
4, 171, 0.363039, 1.24255, 300, 0.170412, 0.00203169
4, 172, 0.083299, 1.33736, 300, 0.372381, 0.00283074
4, 173, 0.083299, 1.33736, 300, 0.372381, 0.00723706
4, 174, -0.094516, 0.914988, 300, -0.220449, 0.000780601
4, 175, -0.519191, 0.540434, 300, -0.155541, 0.000579328
4, 176, -0.425966, 0.546411, 300, -0.001733, 0.000303211
4, 177, -0.209268, 0.639552, 300, 0.129564, 0.000557227
4, 178, -0.209268, 0.639552, 300, 0.129564, 0.00790851
4, 179, 0.07807, 1.04582, 300, -0.229577, 0.000969692
4, 180, 0.303558, 0.922464, 300, -0.244382, 0.000885193
4, 181, 0.396488, 1.00125, 300, -0.241823, 0.00099844
4, 182, 0.43726, 1.07034, 300, -0.151414, 0.00102207
4, 183, 0.839464, 0.755202, 300, -0.322025, 0.00116534
4, 184, 0.471446, 0.62229, 300, -0.158486, 0.000594283
4, 185, 0.144647, 0.725365, 300, -0.00562243, 0.000342117
4, 186, 0.0419788, 1.18717, 300, -0.0545688, 0.00122582
4, 187, 0.0419788, 1.18717, 300, -0.0545688, 0.00625324
4, 188, 0.0980842, 1.01023, 300, -0.237363, 0.000896885
4, 189, 0.0981315, 1.11202, 300, -0.186389, 0.000987121
4, 190, 0.129815, 1.49744, 300, 0.928563, 0.00495256
4, 191, 0.548603, 1.35961, 300, 1.09604, 0.00550795
4, 192, 0.671101, 0.940977, 300, -0.164175, 0.00103757
4, 193, 0.671101, 0.940977, 300, -0.164175, 0.0159039
4, 194, 0.656672, 1.10775, 300, 0.173655, 0.0019595
4, 195, 1.13956, 0.689335, 300, 0.209779, 0.00121284
4, 196, 1.13956, 0.689335, 300, 0.209779, 0.00233334
4, 197, 1.13956, 0.689335, 300, 0.209779, 0.00886257
4, 198, 1.03421, 1.03498, 300, 0.972005, 0.00424144
4, 199, 1.03421, 1.03498, 300, 0.972005, 0.0111449
4, 200, 1.03421, 1.03498, 300, 0.972005, 0.00922818
4, 201, 1.03421, 1.03498, 300, 0.972005, 0.0195365
4, 202, 1.04693, 0.906624, 300, 0.512174, 0.00257447
4, 203, 0.631183, 0.44761, 300, -0.0971214, 0.000494484
4, 204, 0.213803, 0.757571, 300, -0.0899994, 0.000404566
4, 205, -0.0423479, 0.533955, 300, 0.571273, 0.00196566
4, 206, -0.331228, 0.965118, 300, -0.255288, 0.000909691
4, 207, -0.00548988, 1.28128, 300, 0.0264036, 0.00138788
4, 208, -0.0916262, 1.04139, 300, -0.228744, 0.000970092
4, 209, 0.00838196, 1.13288, 300, -0.178073, 0.001095
4, 210, 0.347041, 1.19364, 300, 0.0458583, 0.00139041
4, 211, 0.726405, 1.31474, 300, 1.28008, 0.0064342
4, 212, 0.746218, 1.11924, 300, 0.341621, 0.00237261
4, 213, 1.06686, 1.2897, 300, 2.60482, 0.0112372
4, 214, 1.06686, 1.2897, 300, 2.60482, 0.0183991
4, 215, 1.25388, 1.12214, 300, 3.13385, 0.011728
4, 216, 1.25388, 1.12214, 300, 3.13385, 0.0288679
4, 217, 1.25388, 1.12214, 300, 3.13385, 0.0232867
4, 218, 1.19068, 1.28778, 300, 4.17015, 0.0167111
4, 219, 1.14296, 0.791746, 300, 0.507302, 0.00219156
4, 220, 0.732951, 0.423776, 300, 0.0621675, 0.000490861
4, 221, 0.271574, 0.760624, 300, -0.114275, 0.000471682
4, 222, 0.271574, 0.760624, 300, -0.114275, 0.00205373
4, 223, 0.263624, 1.03018, 300, -0.249817, 0.000937402
4, 224, -0.192933, 0.961925, 300, -0.254036, 0.000905481
4, 225, -0.192933, 0.961925, 300, -0.254036, 0.00368686
4, 226, 0.187601, 0.910554, 300, -0.233605, 0.000827056
4, 227, 0.414319, 1.09922, 300, -0.118139, 0.00113119
4, 228, 0.414319, 1.09922, 300, -0.118139, 0.00267987
4, 229, 0.545083, 0.892741, 300, -0.251555, 0.00105675
4, 230, 0.999818, 0.723159, 300, -0.159763, 0.000922378
4, 231, 0.999818, 0.723159, 300, -0.159763, 0.00796752
4, 232, 1.49587, 0.735135, 300, 3.00487, 0.0104036
4, 233, 1.29079, 0.41618, 300, 0.723073, 0.00245583
4, 234, 1.29079, 0.41618, 300, 0.723073, 0.0102979
4, 235, 1.29079, 0.41618, 300, 0.723073, 0.00479008
4, 236, 1.29079, 0.41618, 300, 0.723073, 0.0174654
4, 237, 1.29079, 0.41618, 300, 0.723073, 0.208991
4, 238, 1.06264, 0.873075, 300, 0.5494, 0.00274327
4, 239, 1.50865, 0.473625, 300, 1.86206, 0.00628327
4, 240, 1.50865, 0.473625, 300, 1.86206, 0.0467664
4, 241, 1.50865, 0.473625, 300, 1.86206, 0.016955
4, 242, 1.50865, 0.473625, 300, 1.86206, 0.0287341
4, 243, 1.1199, 0.732702, 300, 0.244328, 0.00137918
4, 244, 1.36344, 0.602907, 300, 1.0909, 0.00383852
4, 245, 0.867137, 0.857824, 300, -0.103595, 0.00115902
4, 246, 0.925527, 0.771931, 300, -0.176269, 0.000954828
4, 247, 0.644275, 0.898232, 300, -0.248523, 0.00106942
4, 248, 0.38884, 0.563972, 300, 0.0460625, 0.000335347
4, 249, 0.0950837, 0.55391, 300, 0.477887, 0.00164955
4, 250, 0.0350352, 1.03055, 300, -0.23511, 0.000925778
4, 251, -0.376768, 0.774273, 300, -0.196578, 0.000706632
4, 252, -0.376768, 0.774273, 300, -0.196578, 0.0017218
4, 253, -0.844558, 0.70088, 300, -0.380116, 0.00132717
4, 254, -0.844558, 0.70088, 300, -0.380116, 0.00505783
4, 255, -0.844558, 0.70088, 300, -0.380116, 0.00912447
4, 256, -0.42518, 0.591723, 300, -0.0499793, 0.000359554
4, 257, -0.476368, 0.400639, 300, 0.185662, 0.000754354
4, 258, -0.623065, 0.740031, 300, -0.346176, 0.00117444
4, 259, -0.268123, 0.682558, 300, 0.00368194, 0.000299466
4, 260, -0.249921, 0.492046, 300, 0.499985, 0.00171267
4, 261, -0.268515, 0.675528, 300, 0.0164279, 0.000293866
4, 262, -0.167026, 1.06362, 300, -0.215292, 0.000930927
4, 263, 0.00261933, 0.907273, 300, -0.218215, 0.000788726
4, 264, 0.146703, 1.03234, 300, -0.220127, 0.0010454
4, 265, 0.529499, 0.754137, 300, -0.291213, 0.000997203
4, 266, 0.903288, 1.09168, 300, 0.728479, 0.00357695
4, 267, 0.568048, 0.79917, 300, -0.306179, 0.00105694
4, 268, 0.568048, 0.79917, 300, -0.306179, 0.000909709
4, 269, 0.5082, 1.16406, 300, 0.105804, 0.00187878
4, 270, 0.15517, 1.51684, 300, 1.25717, 0.00659817
4, 271, 0.432498, 1.69558, 300, 3.33717, 0.0157813
4, 272, 0.681542, 1.60674, 300, 3.18367, 0.0143414
4, 273, 0.681542, 1.60674, 300, 3.18367, 0.0265619
4, 274, 0.919075, 1.42227, 300, 2.8524, 0.0122557
4, 275, 0.919075, 1.42227, 300, 2.8524, 0.0218971
4, 276, 0.942426, 1.75246, 300, 6.99575, 0.0296054
4, 277, 0.942426, 1.75246, 300, 6.99575, 0.0553071
4, 278, 0.473356, 1.31895, 300, 0.653778, 0.00409519
4, 279, 0.165056, 1.32142, 300, 0.337792, 0.00245715
4, 280, 0.165056, 1.32142, 300, 0.337792, 0.0141821
4, 281, 0.228055, 0.88248, 300, -0.229673, 0.000806239
4, 282, 0.00159335, 0.792682, 300, -0.0925144, 0.000414166
4, 283, -0.314107, 0.431261, 300, 0.489129, 0.00168383
4, 284, -0.314107, 0.431261, 300, 0.489129, 0.00779416
4, 285, 0.166709, 0.349284, 300, 1.4711, 0.00497431
4, 286, 0.166709, 0.349284, 300, 1.4711, 0.0176831
4, 287, -0.321937, 0.515147, 300, 0.266737, 0.000968347
4, 288, -0.257177, 0.978375, 300, -0.241641, 0.000887532
4, 289, 0.160849, 0.750623, 300, -0.0519481, 0.000355846
4, 290, 0.210212, 0.747827, 300, -0.0688908, 0.0003756
4, 291, 0.190099, 0.455891, 300, 0.752437, 0.00255798
4, 292, 0.190099, 0.455891, 300, 0.752437, 0.0704886
4, 293, 0.662243, 0.760473, 300, -0.352042, 0.00120194
4, 294, 0.207354, 0.874438, 300, -0.212106, 0.000770779
4, 295, -0.0221623, 1.01203, 300, -0.230471, 0.00102659
4, 296, 0.0980591, 0.993876, 300, -0.247689, 0.000911717
4, 297, 0.115966, 1.30179, 300, 0.206987, 0.00222382
4, 298, 0.481675, 1.4169, 300, 1.00199, 0.00516934
4, 299, 0.301508, 1.28839, 300, 0.244149, 0.00232308
4, 300, 0.356038, 1.21915, 300, 0.0416027, 0.00146996
4, 301, 0.356038, 1.21915, 300, 0.0416027, 0.013403
4, 302, 0.356038, 1.21915, 300, 0.0416027, 0.0102674
4, 303, -0.135656, 0.90067, 300, -0.224095, 0.000797671
4, 304, -0.456796, 0.91304, 300, -0.267658, 0.000970041
4, 305, -0.562325, 0.889117, 300, -0.289594, 0.00102498
4, 306, -0.646329, 0.482205, 300, -0.218598, 0.000785921
4, 307, -0.646329, 0.482205, 300, -0.218598, 0.0276465
4, 308, -1.06057, 0.427827, 300, 0.199249, 0.00078218
4, 309, -1.06057, 0.427827, 300, 0.199249, 0.00465357
4, 310, -1.41764, 0.675305, 300, 1.83356, 0.00635676
4, 311, -1.41764, 0.675305, 300, 1.83356, 0.0343888
4, 312, -1.31552, 0.394043, 300, 0.906329, 0.00307075
4, 313, -1.31552, 0.394043, 300, 0.906329, 0.0276046
4, 314, -1.31552, 0.394043, 300, 0.906329, 5.35691
4, 315, -1.32388, 0.826596, 300, 1.80389, 0.00662749
4, 316, -1.41378, 0.747673, 300, 2.27312, 0.00797177
4, 317, -1.30839, 0.818484, 300, 1.64311, 0.00607658
4, 318, -1.30839, 0.818484, 300, 1.64311, 0.0141782
4, 319, -1.0022, 0.846573, 300, 0.173488, 0.00146709
4, 320, -1.0201, 1.08561, 300, 1.2104, 0.0054674
4, 321, -0.819205, 0.941602, 300, 0.000305716, 0.00123282
4, 322, -0.819205, 0.941602, 300, 0.000305716, 0.0134709
4, 323, -0.504809, 0.993789, 300, -0.218498, 0.000985333
4, 324, -0.841116, 0.656579, 300, -0.423017, 0.00142914
4, 325, -0.841116, 0.656579, 300, -0.423017, 0.0104402
4, 326, -1.33709, 0.287954, 300, 2.06267, 0.00701274
4, 327, -1.39098, 0.677312, 300, 1.58027, 0.00555919
4, 328, -1.39098, 0.677312, 300, 1.58027, 0.0531808
4, 329, -1.5257, 0.522032, 300, 2.18147, 0.00737045
4, 330, -1.46968, 0.273677, 300, 3.02445, 0.0102201
4, 331, -1.6631, 0.731618, 300, 5.14064, 0.0176207
4, 332, -1.6631, 0.731618, 300, 5.14064, 0.0247531
4, 333, -1.1866, 0.760991, 300, 0.657203, 0.00273406
4, 334, -1.1866, 0.760991, 300, 0.657203, 0.00494659
4, 335, -0.750908, 0.764372, 300, -0.352129, 0.00124352
4, 336, -0.56838, 0.454859, 300, -0.0964491, 0.000462742
4, 337, -0.56838, 0.454859, 300, -0.0964491, 0.0906743
4, 338, -0.56838, 0.454859, 300, -0.0964491, 0.142337
4, 339, -0.684329, 0.557246, 300, -0.367833, 0.00123882
4, 340, -0.981207, 1.0308, 300, 0.82672, 0.00381007
4, 341, -1.3908, 0.831833, 300, 2.48804, 0.00881564
4, 342, -1.17557, 1.29449, 300, 3.68827, 0.0143531
4, 343, -1.17557, 1.29449, 300, 3.68827, 0.0301977
4, 344, -0.960773, 1.59562, 300, 5.39091, 0.0241566
4, 345, -0.956883, 1.28889, 300, 2.16752, 0.00983992
4, 346, -0.777894, 1.30623, 300, 1.22541, 0.00563982
4, 347, -0.777894, 1.30623, 300, 1.22541, 0.0250107
4, 348, -0.777894, 1.30623, 300, 1.22541, 0.0221668
4, 349, -0.417107, 1.03302, 300, -0.216794, 0.000953234
4, 350, 0.0136877, 1.31732, 300, 0.174192, 0.00163286
4, 351, -0.1093, 1.11929, 300, -0.204089, 0.000945681
4, 352, 0.148861, 0.673343, 300, 0.101508, 0.000474946
4, 353, -0.2463, 0.625167, 300, 0.14524, 0.000605502
4, 354, 0.210559, 1.03374, 300, -0.248514, 0.000972864
4, 355, 0.210559, 1.03374, 300, -0.248514, 0.00326586
4, 356, 0.408492, 0.654986, 300, -0.0955332, 0.000430839
4, 357, 0.610528, 1.01696, 300, -0.11359, 0.00099338
4, 358, 0.584446, 1.07252, 300, -0.0638515, 0.00115402
4, 359, 0.490203, 0.642354, 300, -0.197749, 0.000700313
4, 360, 0.11501, 1.00654, 300, -0.254137, 0.000921709
4, 361, -0.356656, 1.31151, 300, 0.370177, 0.00272386
4, 362, -0.356656, 1.31151, 300, 0.370177, 0.00656147
4, 363, -0.524206, 1.7665, 300, 4.20061, 0.0184573
4, 364, -0.201598, 1.52723, 300, 1.38237, 0.00760341
4, 365, -0.201598, 1.52723, 300, 1.38237, 0.0274585
4, 366, -0.41815, 1.46938, 300, 1.23659, 0.00654243
4, 367, -0.566667, 1.06569, 300, -0.090402, 0.00112086
4, 368, -0.927268, 0.715678, 300, -0.273895, 0.00107796
4, 369, -0.927268, 0.715678, 300, -0.273895, 0.00393033
4, 370, -0.59537, 0.396225, 300, 0.208123, 0.000862887
4, 371, -0.826147, 0.608333, 300, -0.439325, 0.00147215
4, 372, -0.501754, 0.960742, 300, -0.240125, 0.000977063
4, 373, -0.501754, 0.960742, 300, -0.240125, 0.00902536
4, 374, -0.504674, 0.541283, 300, -0.130113, 0.000506465
4, 375, -0.672208, 0.645062, 300, -0.38774, 0.00130609
4, 376, -0.672208, 0.645062, 300, -0.38774, 0.0119283
4, 377, -0.905929, 0.511689, 300, -0.271905, 0.000929299
4, 378, -1.01349, 0.654833, 300, -0.215157, 0.000896241
4, 379, -0.6612, 1.04506, 300, -0.027952, 0.00114303
4, 380, -0.443713, 0.835905, 300, -0.254347, 0.000885744
4, 381, -0.308365, 1.22183, 300, 0.0185138, 0.00132095
4, 382, -0.136562, 0.938427, 300, -0.234951, 0.000830591
4, 383, 0.357048, 1.26758, 300, 0.196337, 0.00199292
4, 384, 0.452777, 0.845247, 300, -0.255493, 0.000929281
4, 385, 0.309749, 0.402264, 300, 0.598013, 0.00204089
4, 386, 0.643206, 0.54071, 300, -0.330168, 0.00111868
4, 387, 0.643206, 0.54071, 300, -0.330168, 0.0353561
4, 388, 0.956389, 0.996157, 300, 0.479768, 0.00241296
4, 389, 0.7024, 0.986997, 300, -0.0868672, 0.00111129
4, 390, 0.535812, 0.664855, 300, -0.259959, 0.000894133
4, 391, 0.535812, 0.664855, 300, -0.259959, 0.00443437
4, 392, 0.516987, 0.332308, 300, 0.747377, 0.00262822
4, 393, 0.516987, 0.332308, 300, 0.747377, 0.012525
4, 394, 0.158144, 0.803049, 300, -0.137785, 0.000530498
4, 395, 0.488823, 0.999521, 300, -0.206137, 0.000998323
4, 396, 0.354938, 1.28861, 300, 0.313886, 0.00292119
4, 397, 0.604174, 1.18239, 300, 0.281231, 0.0027043
4, 398, 0.604174, 1.18239, 300, 0.281231, 0.0185776
4, 399, 0.801789, 1.24801, 300, 1.01614, 0.00513388
4, 400, 0.530639, 1.27295, 300, 0.47453, 0.00317638
4, 401, 0.42405, 1.14157, 300, -0.0304202, 0.00147503
4, 402, 0.787411, 1.09583, 300, 0.344202, 0.00226691
4, 403, 0.634415, 1.15252, 300, 0.283001, 0.00222092
4, 404, 0.475129, 0.803904, 300, -0.265007, 0.000917168
4, 405, 0.7902, 0.467405, 300, -0.165947, 0.000649521
4, 406, 0.7902, 0.467405, 300, -0.165947, 0.00167886
4, 407, 0.7902, 0.467405, 300, -0.165947, 0.0353319
4, 408, 0.7902, 0.467405, 300, -0.165947, 0.0224574
4, 409, 0.7902, 0.467405, 300, -0.165947, 0.00861486
4, 410, 0.611327, 0.488677, 300, -0.218917, 0.000788626
4, 411, 0.611327, 0.488677, 300, -0.218917, 0.0487648
4, 412, 0.611327, 0.488677, 300, -0.218917, 0.00822675
4, 413, 0.276269, 0.92442, 300, -0.255952, 0.000898626
4, 414, -0.0538549, 0.586233, 300, 0.38071, 0.00133281
4, 415, -0.207547, 0.770401, 300, -0.0994683, 0.000431757
4, 416, -0.442372, 0.35637, 300, 0.44873, 0.00159734
4, 417, -0.772098, 0.621098, 300, -0.436165, 0.00146166
4, 418, -0.727073, 1.02809, 300, 0.0867094, 0.00157229
