,sigma,epochs,train_dim,loss,val_loss
183,0.0,40.0,60.0,0.49528083205223083,0.5196287035942078
184,0.0,50.0,60.0,0.3714766800403595,0.4062179625034332
185,0.0,60.0,60.0,0.2844465970993042,0.3205389380455017
186,0.0,70.0,60.0,0.21962055563926697,0.2536368668079376
187,0.0,80.0,60.0,0.17163610458374023,0.20150886476039886
188,0.0,90.0,60.0,0.1336774080991745,0.15905551612377167
189,0.05263157894736842,10.0,60.0,1.4838968515396118,1.290065050125122
190,0.05263157894736842,20.0,60.0,0.9713352918624878,0.9044560790061951
191,0.05263157894736842,30.0,60.0,0.6798693537712097,0.6745848059654236
192,0.05263157894736842,40.0,60.0,0.4941038191318512,0.5186347365379333
193,0.05263157894736842,50.0,60.0,0.37186506390571594,0.40583816170692444
194,0.05263157894736842,60.0,60.0,0.2842760682106018,0.3208484649658203
195,0.05263157894736842,70.0,60.0,0.22062012553215027,0.25483644008636475
196,0.05263157894736842,80.0,60.0,0.1711202710866928,0.20111125707626343
197,0.05263157894736842,90.0,60.0,0.13356681168079376,0.15884438157081604
198,0.10526315789473684,10.0,60.0,1.483496069908142,1.2891165018081665
199,0.10526315789473684,20.0,60.0,0.9752591252326965,0.906327486038208
200,0.10526315789473684,30.0,60.0,0.6774179935455322,0.67326819896698
201,0.10526315789473684,40.0,60.0,0.4945385754108429,0.5182082056999207
202,0.10526315789473684,50.0,60.0,0.37069588899612427,0.4055909812450409
203,0.10526315789473684,60.0,60.0,0.2840481996536255,0.3210466802120209
204,0.10526315789473684,70.0,60.0,0.21989358961582184,0.2540067732334137
205,0.10526315789473684,80.0,60.0,0.17071433365345,0.20056036114692688
206,0.10526315789473684,90.0,60.0,0.13349510729312897,0.1588587611913681
207,0.15789473684210525,10.0,60.0,1.482527494430542,1.2883939743041992
208,0.15789473684210525,20.0,60.0,0.9747911095619202,0.9072990417480469
209,0.15789473684210525,30.0,60.0,0.6757937073707581,0.6716066002845764
210,0.15789473684210525,40.0,60.0,0.49403709173202515,0.5184210538864136
211,0.15789473684210525,50.0,60.0,0.37070006132125854,0.4055761992931366
212,0.15789473684210525,60.0,60.0,0.2839605510234833,0.32091620564460754
213,0.15789473684210525,70.0,60.0,0.22033730149269104,0.2546178698539734
214,0.15789473684210525,80.0,60.0,0.1709488481283188,0.2007901519536972
215,0.15789473684210525,90.0,60.0,0.133637472987175,0.15914054214954376
216,0.21052631578947367,10.0,60.0,1.4830421209335327,1.2890547513961792
217,0.21052631578947367,20.0,60.0,0.9714177250862122,0.9044003486633301
218,0.21052631578947367,30.0,60.0,0.6767757534980774,0.6729643940925598
219,0.21052631578947367,40.0,60.0,0.4932364821434021,0.5176565647125244
220,0.21052631578947367,50.0,60.0,0.3705337643623352,0.4058009684085846
221,0.21052631578947367,60.0,60.0,0.2843228280544281,0.3213329613208771
222,0.21052631578947367,70.0,60.0,0.2196936160326004,0.25400179624557495
223,0.21052631578947367,80.0,60.0,0.17125678062438965,0.20120863616466522
224,0.21052631578947367,90.0,60.0,0.1339302957057953,0.15936610102653503
225,0.2631578947368421,10.0,60.0,1.4805223941802979,1.2874691486358643
