,sigma,epochs,train_dim,loss,val_loss
39,0.07364536362632146,17,22,2.807105541229248,1.7770755290985107
40,0.07364536362632146,95,352,0.0052168769761919975,0.007221780251711607
41,0.07364536362632146,56,243,0.018775418400764465,0.019398771226406097
42,0.07364536362632146,19,201,0.784241795539856,0.6944572329521179
43,0.07364536362632146,94,489,0.005112480837851763,0.005099950823932886
44,0.07364536362632146,59,496,0.0053665223531425,0.005794308613985777
45,0.07364536362632146,91,301,0.005419280380010605,0.004455954302102327
46,0.07364536362632146,28,296,0.029365623369812965,0.026387736201286316
47,0.07364536362632146,16,58,2.204770803451538,1.8791791200637817
48,0.07364536362632146,50,313,0.006294203922152519,0.006221091840416193
49,0.07364536362632146,35,352,0.0066320332698524,0.009401809424161911
50,0.07364536362632146,18,110,0.8600553870201111,0.8502051830291748
51,0.07364536362632146,35,130,0.12800100445747375,0.13068461418151855
52,0.07364536362632146,19,458,0.10124396532773972,0.08937766402959824
53,0.07364536362632146,63,348,0.0051961857825517654,0.007183798588812351
54,0.07364536362632146,38,450,0.007036902010440826,0.005027163773775101
55,0.07364536362632146,76,133,0.008226786740124226,0.004467240534722805
56,0.07364536362632146,21,49,1.3151814937591553,1.1387648582458496
57,0.07364536362632146,49,428,0.005782862659543753,0.004421101417392492
58,0.07364536362632146,80,101,0.009205725975334644,0.0071081011556088924
59,0.07364536362632146,19,206,0.01954721473157406,0.01846359297633171
60,0.07364536362632146,62,312,0.006156669929623604,0.004232678562402725
61,0.07364536362632146,74,470,0.005293585360050201,0.006016177125275135
62,0.07364536362632146,64,277,0.00535691948607564,0.005567318294197321
63,0.07364536362632146,74,376,0.005552332382649183,0.00579068111255765
64,0.07364536362632146,53,401,0.00600214721634984,0.004539472050964832
65,0.07364536362632146,94,113,0.0066393716260790825,0.006993904709815979
66,0.07364536362632146,11,356,0.43771854043006897,0.4802858829498291
67,0.07364536362632146,68,182,0.008351366966962814,0.007364057470113039
68,0.07364536362632146,93,361,0.005321409087628126,0.006787103600800037
69,0.07364536362632146,60,412,0.0055411625653505325,0.003855552291497588
70,0.07364536362632146,68,399,0.005541584454476833,0.00431222515180707
71,0.07364536362632146,79,67,0.18335196375846863,0.17782612144947052
72,0.07364536362632146,73,157,0.03159758821129799,0.03267590329051018
73,0.07364536362632146,13,159,1.2547900676727295,1.165309190750122
74,0.07364536362632146,47,184,0.026531411334872246,0.02673456259071827
75,0.07364536362632146,49,13,1.3080408573150635,2.8014538288116455
76,0.07364536362632146,10,171,0.24579915404319763,0.17479242384433746
77,0.07364536362632146,80,413,0.0054457769729197025,0.004864610265940428
