# VELOCITY:     BLOCK_AVE_POFV	PROG_AVE_POFV:        ERROR:
     3.20555      13.723     10.9906    0.412303
     3.58267        6.83     5.48556    0.351525
      3.9598      3.7515     4.44117    0.368822
     4.33692       2.129     2.48417    0.334514
     4.71405      3.3755     1.57722    0.373532
     5.09117      0.2605    0.478278    0.138778
     5.46829         0.2    0.347111    0.100537
     5.84542      0.4225    0.206944   0.0602533
     6.22254           0   0.0333889   0.0243018
     6.59966           0       0.134   0.0787111
     6.97679           0   0.0375556   0.0284684
     7.35391           0           0           0
     7.73103           0           0           0
     8.10816           0           0           0
     8.48528           0           0           0
      8.8624           0           0           0
     9.23953           0           0           0
     9.61665           0           0           0
     9.99378           0           0           0
     10.3709           0           0           0
      10.748           0           0           0
     11.1251           0           0           0
    0.188562      1.3375     0.52885    0.187885
    0.565685      4.5845     3.79955    0.536974
    0.942809     11.6145      7.5907    0.700323
     1.31993     10.6335     12.5015    0.752791
     1.69706      14.089     13.5213    0.467162
     2.07418       13.56     16.0779    0.890281
      2.4513      11.218     14.9737     0.79322
     2.82843      10.503      12.366    0.486678
     3.20555     13.2625     11.2178    0.429125
     3.58267        7.19       5.656    0.355299
      3.9598      4.6535      4.4624     0.33255
     4.33692      2.5245      2.4882    0.301087
     4.71405      1.1275     1.53225    0.338875
     5.09117      0.4675      0.4772    0.124905
     5.46829      0.3695     0.34935    0.090508
     5.84542       0.865     0.27275   0.0826922
     6.22254           0     0.03005   0.0220998
     6.59966           0      0.1206   0.0719715
     6.97679           0      0.0338    0.025868
     7.35391           0           0           0
     7.73103           0           0           0
     8.10816           0           0           0
     8.48528           0           0           0
      8.8624           0           0           0
     9.23953           0           0           0
     9.61665           0           0           0
     9.99378           0           0           0
     10.3709           0           0           0
      10.748           0           0           0
     11.1251           0           0           0
    0.188562      0.3855    0.515818    0.171256
    0.565685      5.2665     3.93291    0.504447
    0.942809      8.0065      7.6285    0.637676
     1.31993      10.271     12.2987    0.711141
     1.69706     16.8505     13.8239    0.513458
     2.07418     15.0535     15.9848    0.814203
      2.4513      12.294     14.7301    0.757595
     2.82843      13.043     12.4276    0.446309
     3.20555      9.7765     11.0868    0.409629
     3.58267      6.9095     5.76995    0.340784
      3.9598      5.1055     4.52086    0.307414
     4.33692       1.786     2.42436    0.280401
     4.71405       1.707     1.54814     0.30844
     5.09117       0.312    0.462182    0.114449
     5.46829      0.3865    0.352727    0.082343
     5.84542      0.8465    0.324909    0.090136
     6.22254           0   0.0273182   0.0202589
     6.59966           0    0.109636   0.0662585
     6.97679           0   0.0307273   0.0236982
     7.35391           0           0           0
     7.73103           0           0           0
     8.10816           0           0           0
     8.48528           0           0           0
      8.8624           0           0           0
     9.23953           0           0           0
     9.61665           0           0           0
     9.99378           0           0           0
     10.3709           0           0           0
      10.748           0           0           0
     11.1251           0           0           0
    0.188562      0.4395    0.509458    0.157103
    0.565685      4.5275     3.98246    0.464837
    0.942809       6.231     7.51204    0.595076
     1.31993      8.0135     11.9416    0.736099
     1.69706     15.6895     13.9794    0.493645
     2.07418     17.6875     16.1267    0.758615
      2.4513      16.639     14.8892    0.710966
     2.82843     13.0915     12.4829    0.412531
     3.20555     10.4465     11.0334    0.378952
     3.58267      6.1495     5.80158     0.31385
      3.9598        3.52     4.43746    0.292892
     4.33692      2.3285     2.41638    0.257148
     4.71405      1.7845     1.56783    0.283365
     5.09117      1.0145    0.508208    0.113791
     5.46829      0.4375    0.359792   0.0757835
