# VELOCITY:     AVE_POFV:        ERROR:
    0.471405      1.8385    0.177023
    0.659966       2.576    0.169428
    0.848528      2.4815    0.215997
     1.03709        3.22    0.293803
     1.22565      6.7705    0.351943
     1.41421      7.2665    0.441788
     1.60278      7.5725    0.366924
     1.79134       8.911    0.503658
      1.9799       7.974    0.440488
     2.16846       7.446    0.347913
     2.35702       6.335     0.99301
     2.54558       7.602     2.46328
     2.73415       6.403    0.403046
     2.92271      3.3535    0.433971
     3.11127       4.357    0.305518
     3.29983      4.3135     0.21784
     3.48839      3.3965    0.282662
     3.67696       4.066    0.260322
     3.86552       3.791    0.181337
     4.05408      4.4085    0.188395
     4.24264      1.5485    0.134167
      4.4312      0.3535    0.119173
     4.61976       0.354    0.134054
     4.80833       0.095    0.092112
     4.99689       0.025    0.130256
     5.18545      0.0515   0.0533066
     5.37401       0.037   0.0552386
     5.56257           0    0.110139
